,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished
0,0,CIP Massachusetts,87672,174930.4687694315,190079.7159199739,2033-05-01,2043-04-14 19:00:00,2045-01-05 00:00:00
1,1,Duke Energy Renewables Wind,61368,171262.02676602587,177591.65441243415,2030-05-01,2042-11-12 23:00:00,2043-08-03 16:00:00
2,2,Atlantic Shores Offshore Wind residual,61368,161359.6444638484,174930.4687694315,2030-05-01,2041-09-26 08:00:00,2043-04-14 19:00:00
3,3,TotalEnergies Renewables USA,61368,165063.6491196176,171262.02676602587,2030-05-01,2042-02-27 16:00:00,2042-11-12 23:00:00
4,4,Kitty Hawk residual,52608,151561.0748140345,165063.6491196176,2029-05-01,2040-08-14 02:00:00,2042-02-27 16:00:00
5,5,Attentive Energy,52632,152406.0270149552,161359.6444638484,2029-05-02,2040-09-18 07:00:00,2041-09-26 08:00:00
6,6,Garden State Offshore Energy,52608,142983.15973021454,152406.0270149552,2029-05-01,2039-08-22 16:00:00,2040-09-18 07:00:00
7,7,Invenergy Wind Offshore,52608,142621.1340558765,151561.0748140345,2029-05-01,2039-08-07 14:00:00,2040-08-14 02:00:00
8,8,Atlantic Shores Offshore Wind Bight,52608,134296.1823174241,142983.15973021454,2029-05-01,2038-08-25 17:00:00,2039-08-22 16:00:00
9,9,Community Wind,52608,129093.54293669085,142621.1340558765,2029-05-01,2038-01-20 22:00:00,2039-08-07 14:00:00
10,10,OW Ocean Winds East,52608,128389.1486350974,134296.1823174241,2029-05-01,2037-12-22 14:00:00,2038-08-25 17:00:00
11,11,Beacon Wind residual,52608,117995.78349222438,129093.54293669085,2029-05-01,2036-10-15 12:00:00,2038-01-20 22:00:00
12,12,Mid-Atlantic Offshore Wind,52608,123448.43154723183,128389.1486350974,2029-05-01,2037-05-30 17:00:00,2037-12-22 14:00:00
13,13,Bay State Wind,43848,104332.76841600327,123448.43154723183,2028-05-01,2035-03-26 05:00:00,2037-05-30 17:00:00
14,14,Mayflower Wind residual,43848,112275.13451362701,117995.78349222438,2028-05-01,2036-02-20 04:00:00,2036-10-15 12:00:00
15,15,Ocean Wind 2,35064,101867.56524206327,112275.13451362701,2027-05-01,2034-12-13 12:00:00,2036-02-20 04:00:00
16,16,Beacon Wind 1,35064,96123.24202710336,104332.76841600327,2027-05-01,2034-04-18 04:00:00,2035-03-26 05:00:00
17,17,Sunrise Wind residual,35064,93544.07390176924,101867.56524206327,2027-05-01,2033-12-31 17:00:00,2034-12-13 12:00:00
18,18,Skipjack 2,26304,86476.07065586197,96123.24202710336,2026-05-01,2033-03-12 05:00:00,2034-04-18 04:00:00
19,19,Mayflower Wind 2,27048,91146.16522098603,93544.07390176924,2026-06-01,2033-09-22 19:00:00,2033-12-31 17:00:00
20,20,Atlantic Shores Offshore Wind 1,26304,76848.8876723471,91146.16522098603,2026-05-01,2032-02-05 01:00:00,2033-09-22 19:00:00
21,21,Commonwealth Wind,26304,75278.451482228,86476.07065586197,2026-05-01,2031-12-01 15:00:00,2033-03-12 05:00:00
22,22,Empire Wind 2,26304,68601.06803895289,76848.8876723471,2026-05-01,2031-02-26 10:00:00,2032-02-05 01:00:00
23,23,Park City Wind,18288,67765.72635721312,75278.451482228,2025-06-01,2031-01-22 14:00:00,2031-12-01 15:00:00
24,24,Momentum Wind,17544,58896.31557780379,68601.06803895289,2025-05-01,2030-01-18 01:00:00,2031-02-26 10:00:00
25,25,Kitty Hawk 1,17544,58543.85907247244,67765.72635721312,2025-05-01,2030-01-03 08:00:00,2031-01-22 14:00:00
26,26,Skipjack 1,17544,57638.128611444765,58896.31557780379,2025-05-01,2029-11-26 15:00:00,2030-01-18 01:00:00
27,27,Empire Wind 1,17544,53360.15347812043,58543.85907247244,2025-05-01,2029-06-01 09:00:00,2030-01-03 08:00:00
28,28,Mayflower Wind 1,17544,52376.45794136289,57638.128611444765,2025-05-01,2029-04-21 09:00:00,2029-11-26 15:00:00
29,29,MarWin,9528,50259.83584876648,53360.15347812043,2024-06-01,2029-01-23 04:00:00,2029-06-01 09:00:00
30,30,Ocean Wind 1,9528,40944.0,52376.45794136289,2024-06-01,2028-01-01 00:00:00,2029-04-21 09:00:00
31,31,Sunrise Wind 1,9528,40363.50229770969,50259.83584876648,2024-06-01,2027-12-07 20:00:00,2029-01-23 04:00:00
32,32,Coastal Virginia Offshore Wind,8784,16276.759649307956,40363.50229770969,2024-05-01,2025-03-09 05:00:00,2027-12-07 20:00:00
33,33,Revolution Wind,744,7745.693389666758,16276.759649307956,2023-06-01,2024-03-18 18:00:00,2025-03-09 05:00:00
34,34,South Fork,0,6193.696590984031,7745.693389666758,2023-05-01,2024-01-14 02:00:00,2024-03-18 18:00:00
35,35,Vineyard Wind 1,0,0.0,6193.696590984031,2023-05-01,2023-05-01 00:00:00,2024-01-14 02:00:00
