,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished
0,0,CIP Massachusetts,87672,87672.0,103066.74715054242,2033-05-01,2033-05-01 00:00:00,2035-02-01 11:00:00
1,1,Invenergy Wind Offshore,52608,93813.41085625369,102785.6016144117,2029-05-01,2034-01-11 22:00:00,2035-01-20 18:00:00
2,2,Community Wind,52608,81018.56973706806,93813.41085625369,2029-05-01,2032-07-27 19:00:00,2034-01-11 22:00:00
3,3,Atlantic Shores Offshore Wind residual,61368,74592.99135250805,88155.06565809113,2030-05-01,2031-11-03 01:00:00,2033-05-21 04:00:00
4,4,Duke Energy Renewables Wind,61368,80331.6501707122,86274.02781712048,2030-05-01,2032-06-29 04:00:00,2033-03-03 19:00:00
5,5,Beacon Wind residual,52608,69670.06029260159,81018.56973706806,2029-05-01,2031-04-11 23:00:00,2032-07-27 19:00:00
6,6,TotalEnergies Renewables USA,61368,74081.0225243039,80331.6501707122,2030-05-01,2031-10-12 18:00:00,2032-06-29 04:00:00
7,7,Attentive Energy,52632,68225.56668332322,77314.93413221643,2029-05-02,2031-02-10 18:00:00,2032-02-24 11:00:00
8,8,Garden State Offshore Energy,52608,61058.536430526074,74592.99135250805,2029-05-01,2030-04-18 03:00:00,2031-11-03 01:00:00
9,9,Kitty Hawk residual,52608,59992.948218720805,74081.0225243039,2029-05-01,2030-03-04 17:00:00,2031-10-12 18:00:00
10,10,Ocean Wind 2,35064,58949.49102103785,69670.06029260159,2027-05-01,2030-01-20 06:00:00,2031-04-11 23:00:00
11,11,Bay State Wind,43848,50372.01861392561,69560.43174515417,2028-05-01,2029-01-27 21:00:00,2031-04-07 09:00:00
12,12,Atlantic Shores Offshore Wind Bight,52608,59508.089270532786,68225.56668332322,2029-05-01,2030-02-12 13:00:00,2031-02-10 18:00:00
13,13,OW Ocean Winds East,52608,57678.54963195573,63482.021647615766,2029-05-01,2029-11-28 07:00:00,2030-07-28 03:00:00
14,14,Mid-Atlantic Offshore Wind,52608,56173.8193426605,61058.536430526074,2029-05-01,2029-09-26 14:00:00,2030-04-18 03:00:00
15,15,Mayflower Wind residual,43848,55072.27754863893,59992.948218720805,2028-05-01,2029-08-11 17:00:00,2030-03-04 17:00:00
16,16,Commonwealth Wind,26304,48291.97009689882,59508.089270532786,2026-05-01,2028-11-02 04:00:00,2030-02-12 13:00:00
17,17,Sunrise Wind residual,35064,48930.15746998106,58949.49102103785,2027-05-01,2028-11-28 19:00:00,2030-01-20 06:00:00
18,18,Beacon Wind 1,35064,49728.0,57678.54963195573,2027-05-01,2029-01-01 00:00:00,2029-11-28 07:00:00
19,19,Skipjack 2,26304,46849.39797141912,56173.8193426605,2026-05-01,2028-09-03 02:00:00,2029-09-26 14:00:00
20,20,Atlantic Shores Offshore Wind 1,26304,40944.0,55072.27754863893,2026-05-01,2028-01-01 00:00:00,2029-08-11 17:00:00
21,21,Mayflower Wind 2,27048,47944.10993314241,50372.01861392561,2026-06-01,2028-10-18 17:00:00,2029-01-27 21:00:00
22,22,Empire Wind 2,26304,40944.0,48930.15746998106,2026-05-01,2028-01-01 00:00:00,2028-11-28 19:00:00
23,23,Park City Wind,18288,40886.994971883934,48291.97009689882,2025-06-01,2027-12-29 15:00:00,2028-11-02 04:00:00
24,24,Kitty Hawk 1,17544,38841.242648401734,47944.10993314241,2025-05-01,2027-10-05 10:00:00,2028-10-18 17:00:00
25,25,Momentum Wind,17544,37301.39551027004,46849.39797141912,2025-05-01,2027-08-02 06:00:00,2028-09-03 02:00:00
26,26,Empire Wind 1,17544,34303.220213427085,40886.994971883934,2025-05-01,2027-03-30 08:00:00,2027-12-29 15:00:00
27,27,Coastal Virginia Offshore Wind,8784,14664.0,38841.242648401734,2024-05-01,2025-01-01 00:00:00,2027-10-05 10:00:00
28,28,Skipjack 1,17544,35921.958543911016,37301.39551027004,2025-05-01,2027-06-05 18:00:00,2027-08-02 06:00:00
29,29,Ocean Wind 1,9528,23424.0,35921.958543911016,2024-06-01,2026-01-01 00:00:00,2027-06-05 18:00:00
30,30,Mayflower Wind 1,17544,29252.54954334521,34303.220213427085,2025-05-01,2026-08-31 21:00:00,2027-03-30 08:00:00
31,31,MarWin,9528,26219.589105379226,29252.54954334521,2024-06-01,2026-04-27 12:00:00,2026-08-31 21:00:00
32,32,Sunrise Wind 1,9528,16085.633276356239,26219.589105379226,2024-06-01,2025-03-01 06:00:00,2026-04-27 12:00:00
33,33,Revolution Wind,744,8089.2563315946445,16085.633276356239,2023-06-01,2024-04-02 02:00:00,2025-03-01 06:00:00
34,34,South Fork,0,6560.681816469605,8089.2563315946445,2023-05-01,2024-01-29 09:00:00,2024-04-02 02:00:00
35,35,Vineyard Wind 1,0,0.0,6560.681816469605,2023-05-01,2023-05-01 00:00:00,2024-01-29 09:00:00
