,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished
0,0,CIP Massachusetts,87672,87672.0,103066.74715054242,2033-05-01,2033-05-01 00:00:00,2035-02-01 11:00:00
1,1,Invenergy Wind Offshore,52608,80195.6136021256,86040.72732055507,2029-05-01,2032-06-23 12:00:00,2033-02-22 01:00:00
2,2,Duke Energy Renewables Wind,61368,78709.20100495245,84900.57865136075,2030-05-01,2032-04-22 14:00:00,2033-01-05 13:00:00
3,3,Atlantic Shores Offshore Wind residual,61368,70319.20517023004,84109.77947581313,2030-05-01,2031-05-09 00:00:00,2032-12-03 14:00:00
4,4,Community Wind,52608,71045.87470318233,80195.6136021256,2029-05-01,2031-06-08 06:00:00,2032-06-23 12:00:00
5,5,TotalEnergies Renewables USA,61368,72658.07335854416,78709.20100495245,2030-05-01,2031-08-14 11:00:00,2032-04-22 14:00:00
6,6,Attentive Energy,52632,68843.2632407684,78026.6306896616,2029-05-02,2031-03-08 12:00:00,2032-03-25 03:00:00
7,7,Bay State Wind,43848,57091.39881027509,75912.81194150366,2028-05-01,2029-11-03 20:00:00,2031-12-28 01:00:00
8,8,Kitty Hawk residual,52608,58525.499052961066,72658.07335854416,2029-05-01,2030-01-02 14:00:00,2031-08-14 11:00:00
9,9,OW Ocean Winds East,52608,65456.34102085562,71045.87470318233,2029-05-01,2030-10-18 09:00:00,2031-06-08 06:00:00
10,10,Garden State Offshore Energy,52608,61057.83788548935,70319.20517023004,2029-05-01,2030-04-18 02:00:00,2031-05-09 00:00:00
11,11,Atlantic Shores Offshore Wind Bight,52608,60127.03582797796,68843.2632407684,2029-05-01,2030-03-10 08:00:00,2031-03-08 12:00:00
12,12,Beacon Wind residual,52608,57678.54963195573,65456.34102085562,2029-05-01,2029-11-28 07:00:00,2030-10-18 09:00:00
13,13,Ocean Wind 2,35064,50372.01861392561,61057.83788548935,2027-05-01,2029-01-27 21:00:00,2030-04-18 02:00:00
14,14,Mid-Atlantic Offshore Wind,52608,55460.56874011238,60127.03582797796,2029-05-01,2029-08-27 21:00:00,2030-03-10 08:00:00
15,15,Mayflower Wind residual,43848,55072.27754863893,59992.948218720805,2028-05-01,2029-08-11 17:00:00,2030-03-04 17:00:00
16,16,Commonwealth Wind,26304,47387.3798793271,58525.499052961066,2026-05-01,2028-09-25 12:00:00,2030-01-02 14:00:00
17,17,Beacon Wind 1,35064,49728.0,57678.54963195573,2027-05-01,2029-01-01 00:00:00,2029-11-28 07:00:00
18,18,Sunrise Wind residual,35064,48930.15746998106,57091.39881027509,2027-05-01,2028-11-28 19:00:00,2029-11-03 20:00:00
19,19,Skipjack 2,26304,46111.397368871,55460.56874011238,2026-05-01,2028-08-03 08:00:00,2029-08-27 21:00:00
20,20,Atlantic Shores Offshore Wind 1,26304,40944.0,55072.27754863893,2026-05-01,2028-01-01 00:00:00,2029-08-11 17:00:00
21,21,Mayflower Wind 2,27048,47944.10993314241,50372.01861392561,2026-06-01,2028-10-18 17:00:00,2029-01-27 21:00:00
22,22,Empire Wind 2,26304,40944.0,48930.15746998106,2026-05-01,2028-01-01 00:00:00,2028-11-28 19:00:00
23,23,Kitty Hawk 1,17544,38841.242648401734,47944.10993314241,2025-05-01,2027-10-05 10:00:00,2028-10-18 17:00:00
24,24,Park City Wind,18288,39983.90475431222,47387.3798793271,2025-06-01,2027-11-22 00:00:00,2028-09-25 12:00:00
25,25,Momentum Wind,17544,36429.144907721915,46111.397368871,2025-05-01,2027-06-26 22:00:00,2028-08-03 08:00:00
26,26,Empire Wind 1,17544,34553.33149980058,39983.90475431222,2025-05-01,2027-04-09 18:00:00,2027-11-22 00:00:00
27,27,Coastal Virginia Offshore Wind,8784,14664.0,38841.242648401734,2024-05-01,2025-01-01 00:00:00,2027-10-05 10:00:00
28,28,Skipjack 1,17544,34940.20794136289,36429.144907721915,2025-05-01,2027-04-25 21:00:00,2027-06-26 22:00:00
29,29,Ocean Wind 1,9528,23424.0,34940.20794136289,2024-06-01,2026-01-01 00:00:00,2027-04-25 21:00:00
30,30,Mayflower Wind 1,17544,29514.160829718705,34553.33149980058,2025-05-01,2026-09-11 19:00:00,2027-04-09 18:00:00
31,31,MarWin,9528,26471.093200364754,29514.160829718705,2024-06-01,2026-05-08 00:00:00,2026-09-11 19:00:00
32,32,Sunrise Wind 1,9528,16276.759649307956,26471.093200364754,2024-06-01,2025-03-09 05:00:00,2026-05-08 00:00:00
33,33,Revolution Wind,744,7745.693389666758,16276.759649307956,2023-06-01,2024-03-18 18:00:00,2025-03-09 05:00:00
34,34,South Fork,0,6193.696590984031,7745.693389666758,2023-05-01,2024-01-14 02:00:00,2024-03-18 18:00:00
35,35,Vineyard Wind 1,0,0.0,6193.696590984031,2023-05-01,2023-05-01 00:00:00,2024-01-14 02:00:00
