,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished
0,0,CIP Massachusetts,87672,114771.56438052138,129978.0615310638,2033-05-01,2036-06-03 04:00:00,2038-02-26 19:00:00
1,1,Duke Energy Renewables Wind,61368,120749.5097388718,127159.13738528009,2030-05-01,2037-02-07 06:00:00,2037-11-01 08:00:00
2,2,Atlantic Shores Offshore Wind residual,61368,110792.86036557112,125121.18467115422,2030-05-01,2035-12-20 09:00:00,2037-08-08 10:00:00
3,3,TotalEnergies Renewables USA,61368,114701.88209246351,120749.5097388718,2030-05-01,2036-05-31 06:00:00,2037-02-07 06:00:00
4,4,Invenergy Wind Offshore,52608,105770.62362236336,114771.56438052138,2029-05-01,2035-05-25 03:00:00,2036-06-03 04:00:00
5,5,OW Ocean Winds East,61368,109062.93173143588,114701.88209246351,2030-05-01,2035-10-09 07:00:00,2036-05-31 06:00:00
6,6,Kitty Hawk residual,52608,97014.03605998802,110792.86036557112,2029-05-01,2034-05-25 07:00:00,2035-12-20 09:00:00
7,7,Attentive Energy,52632,99962.06428254269,109062.93173143588,2029-05-02,2034-09-25 03:00:00,2035-10-09 07:00:00
8,8,Community Wind,52608,92432.78250317773,105770.62362236336,2029-05-01,2033-11-15 09:00:00,2035-05-25 03:00:00
9,9,Garden State Offshore Energy,52608,90537.94699780202,99962.06428254269,2029-05-01,2033-08-28 10:00:00,2034-09-25 03:00:00
10,10,Atlantic Shores Offshore Wind Bight,52608,88034.30864719758,97014.03605998802,2029-05-01,2033-05-16 03:00:00,2034-05-25 07:00:00
11,11,Beacon Wind residual,52608,81553.77305871126,92432.78250317773,2029-05-01,2032-08-19 02:00:00,2033-11-15 09:00:00
12,12,Beacon Wind 1,52608,82637.4073658463,90537.94699780202,2029-05-01,2032-10-03 06:00:00,2033-08-28 10:00:00
13,13,Mid-Atlantic Offshore Wind,52608,83157.59155933201,88034.30864719758,2029-05-01,2032-10-24 22:00:00,2033-05-16 03:00:00
14,14,Bay State Wind,43848,64508.428428103434,83157.59155933201,2028-05-01,2030-09-08 21:00:00,2032-10-24 22:00:00
15,15,Empire Wind 2,43848,74553.99989586526,82637.4073658463,2028-05-01,2031-11-01 10:00:00,2032-10-03 06:00:00
16,16,Commonwealth Wind,43848,69868.15388507729,81553.77305871126,2028-05-01,2031-04-20 05:00:00,2032-08-19 02:00:00
17,17,Mayflower Wind residual,43848,69108.57922578338,74553.99989586526,2028-05-01,2031-03-19 13:00:00,2031-11-01 10:00:00
18,18,Park City Wind,35808,62459.428760062416,69868.15388507729,2027-06-01,2030-06-15 12:00:00,2031-04-20 05:00:00
19,19,Ocean Wind 2,35064,58517.50995421965,69108.57922578338,2027-05-01,2030-01-02 06:00:00,2031-03-19 13:00:00
20,20,Skipjack 2,27768,55069.25705686206,64508.428428103434,2026-07-01,2029-08-11 14:00:00,2030-09-08 21:00:00
21,21,Empire Wind 1,35064,57090.977668963926,62459.428760062416,2027-05-01,2029-11-03 19:00:00,2030-06-15 12:00:00
22,22,Sunrise Wind residual,35064,50372.01861392561,58517.50995421965,2027-05-01,2029-01-27 21:00:00,2030-01-02 06:00:00
23,23,Atlantic Shores Offshore Wind 1,26304,43142.450120325004,57090.977668963926,2026-05-01,2028-04-01 15:00:00,2029-11-03 19:00:00
24,24,Momentum Wind,26304,45336.25459571298,55069.25705686206,2026-05-01,2028-07-02 01:00:00,2029-08-11 14:00:00
25,25,Mayflower Wind 2,27048,47944.10993314241,50372.01861392561,2026-06-01,2028-10-18 17:00:00,2029-01-27 21:00:00
26,26,Kitty Hawk 1,17544,38841.242648401734,47944.10993314241,2025-05-01,2027-10-05 10:00:00,2028-10-18 17:00:00
27,27,Skipjack 1,19008,43850.06762935395,45336.25459571298,2025-07-01,2028-05-01 03:00:00,2028-07-02 01:00:00
28,28,MarWin,18288,40944.0,43850.06762935395,2025-06-01,2028-01-01 00:00:00,2028-05-01 03:00:00
29,29,Ocean Wind 1,18288,31749.992178962115,43142.450120325004,2025-06-01,2026-12-13 22:00:00,2028-04-01 15:00:00
30,30,Coastal Virginia Offshore Wind,8784,14664.0,38841.242648401734,2024-05-01,2025-01-01 00:00:00,2027-10-05 10:00:00
31,31,Mayflower Wind 1,17544,26471.093200364754,31749.992178962115,2025-05-01,2026-05-08 00:00:00,2026-12-13 22:00:00
32,32,Sunrise Wind 1,9528,16276.759649307956,26471.093200364754,2024-06-01,2025-03-09 05:00:00,2026-05-08 00:00:00
33,33,Revolution Wind,744,7745.693389666758,16276.759649307956,2023-06-01,2024-03-18 18:00:00,2025-03-09 05:00:00
34,34,South Fork,0,6193.696590984031,7745.693389666758,2023-05-01,2024-01-14 02:00:00,2024-03-18 18:00:00
35,35,Vineyard Wind 1,0,0.0,6193.696590984031,2023-05-01,2023-05-01 00:00:00,2024-01-14 02:00:00
