,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished
0,0,CIP Massachusetts,96432,119480.92052254753,135182.16767308995,2034-05-01,2036-12-16 09:00:00,2038-10-01 15:00:00
1,1,Invenergy Wind Offshore,61368,119969.64930833796,128920.59006649598,2030-05-01,2037-01-05 18:00:00,2038-01-13 17:00:00
2,2,Duke Energy Renewables Wind,61368,114047.65662330344,120193.53426971173,2030-05-01,2036-05-04 00:00:00,2037-01-15 02:00:00
3,3,Community Wind,61368,106879.30818915233,119969.64930833796,2030-05-01,2035-07-10 08:00:00,2037-01-05 18:00:00
4,4,Atlantic Shores Offshore Wind residual,61368,105679.34621696443,119480.92052254753,2030-05-01,2035-05-21 08:00:00,2036-12-16 09:00:00
5,5,TotalEnergies Renewables USA,61368,107940.02897689515,114047.65662330344,2030-05-01,2035-08-23 13:00:00,2036-05-04 00:00:00
6,6,OW Ocean Winds East,61368,102173.35529456845,107940.02897689515,2030-05-01,2034-12-26 06:00:00,2035-08-23 13:00:00
7,7,Beacon Wind residual,61368,95428.04874468586,106879.30818915233,2030-05-01,2034-03-20 05:00:00,2035-07-10 08:00:00
8,8,Kitty Hawk residual,52608,91834.02191138135,105679.34621696443,2029-05-01,2033-10-21 11:00:00,2035-05-21 08:00:00
9,9,Attentive Energy,52632,92961.73784567526,102173.35529456845,2029-05-02,2033-12-07 10:00:00,2034-12-26 06:00:00
10,10,Bay State Wind,52608,76396.3856134573,95428.04874468586,2029-05-01,2032-01-17 05:00:00,2034-03-20 05:00:00
11,11,Garden State Offshore Energy,52608,83909.62056093459,92961.73784567526,2029-05-01,2032-11-25 06:00:00,2033-12-07 10:00:00
12,12,Atlantic Shores Offshore Wind Bight,52608,83139.79449859093,91834.02191138135,2029-05-01,2032-10-24 04:00:00,2033-10-21 11:00:00
13,13,Mid-Atlantic Offshore Wind,52608,79021.15347306902,83909.62056093459,2029-05-01,2032-05-05 14:00:00,2032-11-25 06:00:00
14,14,Ocean Wind 2,43848,72572.9752270272,83139.79449859093,2028-05-01,2031-08-10 21:00:00,2032-10-24 04:00:00
15,15,Beacon Wind 1,43848,71023.70550777996,79021.15347306902,2028-05-01,2031-06-07 08:00:00,2032-05-05 14:00:00
16,16,Mayflower Wind residual,43848,71254.58994337542,76396.3856134573,2028-05-01,2031-06-16 23:00:00,2032-01-17 05:00:00
17,17,Commonwealth Wind,35064,60918.10605339324,72572.9752270272,2027-05-01,2030-04-12 07:00:00,2031-08-10 21:00:00
18,18,Sunrise Wind residual,43848,63132.848603081395,71254.58994337542,2028-05-01,2030-07-13 13:00:00,2031-06-16 23:00:00
19,19,Empire Wind 2,35064,62989.33970446557,71023.70550777996,2027-05-01,2030-07-07 14:00:00,2031-06-07 08:00:00
20,20,Mayflower Wind 2,27048,60083.00492229819,63132.848603081395,2026-06-01,2030-03-08 12:00:00,2030-07-13 13:00:00
21,21,Atlantic Shores Offshore Wind 1,26304,49010.06215582664,62989.33970446557,2026-05-01,2028-12-02 03:00:00,2030-07-07 14:00:00
22,22,Park City Wind,27048,53570.880928378356,60918.10605339324,2026-06-01,2029-06-10 03:00:00,2030-04-12 07:00:00
23,23,Skipjack 2,26304,50774.5835510568,60083.00492229819,2026-05-01,2029-02-13 15:00:00,2030-03-08 12:00:00
24,24,Empire Wind 1,26304,48221.24650394653,53570.880928378356,2026-05-01,2028-10-30 06:00:00,2029-06-10 03:00:00
25,25,Sunrise Wind 1,18288,40944.0,50774.5835510568,2025-06-01,2028-01-01 00:00:00,2029-02-13 15:00:00
26,26,Kitty Hawk 1,17544,39932.444871085965,49010.06215582664,2025-05-01,2027-11-19 21:00:00,2028-12-02 03:00:00
27,27,Momentum Wind,17544,38687.99404279745,48221.24650394653,2025-05-01,2027-09-29 00:00:00,2028-10-30 06:00:00
28,28,Mayflower Wind 1,17544,34585.02420100409,39932.444871085965,2025-05-01,2027-04-11 02:00:00,2027-11-19 21:00:00
29,29,Skipjack 1,17544,37361.557076438425,38687.99404279745,2025-05-01,2027-08-04 18:00:00,2027-09-29 00:00:00
30,30,MarWin,9528,34210.489447084474,37361.557076438425,2024-06-01,2027-03-26 11:00:00,2027-08-04 18:00:00
31,31,Ocean Wind 1,9528,23106.0662596412,34585.02420100409,2024-06-01,2025-12-18 19:00:00,2027-04-11 02:00:00
32,32,Coastal Virginia Offshore Wind,8784,10389.246798682727,34210.489447084474,2024-05-01,2024-07-06 22:00:00,2027-03-26 11:00:00
33,33,Revolution Wind,9528,14664.0,23106.0662596412,2024-06-01,2025-01-01 00:00:00,2025-12-18 19:00:00
34,34,South Fork,8784,8784.0,10389.246798682727,2024-05-01,2024-05-01 00:00:00,2024-07-06 22:00:00
35,35,Vineyard Wind 1,0,0.0,6193.696590984031,2023-05-01,2023-05-01 00:00:00,2024-01-14 02:00:00
