,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished
0,0,CIP Massachusetts,87672,87672.0,103066.74715054242,2033-05-01,2033-05-01 00:00:00,2035-02-01 11:00:00
1,1,Invenergy Wind Offshore,52608,92822.82667003326,101700.76742819128,2029-05-01,2033-12-01 15:00:00,2034-12-06 13:00:00
2,2,Duke Energy Renewables Wind,61368,89998.64638760376,96032.02403401205,2030-05-01,2033-08-05 23:00:00,2034-04-14 09:00:00
3,3,Community Wind,52608,79873.98555084763,92822.82667003326,2029-05-01,2032-06-10 02:00:00,2033-12-01 15:00:00
4,4,TotalEnergies Renewables USA,61368,83763.76874119547,89998.64638760376,2030-05-01,2032-11-19 04:00:00,2033-08-05 23:00:00
5,5,Atlantic Shores Offshore Wind residual,61368,75068.58085245485,88874.90515803795,2030-05-01,2031-11-22 21:00:00,2033-06-20 03:00:00
6,6,Kitty Hawk residual,52608,69896.19443561237,83763.76874119547,2029-05-01,2031-04-21 09:00:00,2032-11-19 04:00:00
7,7,Attentive Energy,52632,71823.6717831138,81100.53923200698,2029-05-02,2031-07-10 16:00:00,2032-07-31 05:00:00
8,8,Beacon Wind residual,52608,68502.72610638115,79873.98555084763,2029-05-01,2031-02-22 07:00:00,2032-06-10 02:00:00
9,9,Garden State Offshore Energy,52608,65947.71356771418,75068.58085245485,2029-05-01,2030-11-07 20:00:00,2031-11-22 21:00:00
10,10,Atlantic Shores Offshore Wind Bight,52608,63036.194370323356,71823.6717831138,2029-05-01,2030-07-09 13:00:00,2031-07-10 16:00:00
11,11,Bay State Wind,43848,50743.0313043838,69896.19443561237,2028-05-01,2029-02-12 08:00:00,2031-04-21 09:00:00
12,12,Ocean Wind 2,35064,57989.90683481741,68502.72610638115,2027-05-01,2029-12-11 06:00:00,2031-02-22 07:00:00
13,13,OW Ocean Winds East,52608,59992.948218720805,65947.71356771418,2029-05-01,2030-03-04 17:00:00,2030-11-07 20:00:00
14,14,Mid-Atlantic Offshore Wind,52608,57990.22728245778,63036.194370323356,2029-05-01,2029-12-11 07:00:00,2030-07-09 13:00:00
15,15,Mayflower Wind residual,43848,55072.27754863893,59992.948218720805,2028-05-01,2029-08-11 17:00:00,2030-03-04 17:00:00
16,16,Beacon Wind 1,35064,49967.67765050205,57990.22728245778,2027-05-01,2029-01-11 00:00:00,2029-12-11 07:00:00
17,17,Sunrise Wind residual,35064,49933.915494523375,57989.90683481741,2027-05-01,2029-01-09 14:00:00,2029-12-11 06:00:00
18,18,Atlantic Shores Offshore Wind 1,26304,40944.0,55072.27754863893,2026-05-01,2028-01-01 00:00:00,2029-08-11 17:00:00
19,19,Skipjack 2,26304,41534.35993314242,50743.0313043838,2026-05-01,2028-01-25 15:00:00,2029-02-12 08:00:00
20,20,Mayflower Wind 2,27048,47533.143969718854,49967.67765050205,2026-06-01,2028-10-01 14:00:00,2029-01-11 00:00:00
21,21,Commonwealth Wind,26304,38842.54632088941,49933.915494523375,2026-05-01,2027-10-05 11:00:00,2029-01-09 14:00:00
22,22,Empire Wind 2,26304,39526.82433632465,47533.143969718854,2026-05-01,2027-11-02 23:00:00,2028-10-01 14:00:00
23,23,Kitty Hawk 1,17544,32445.24264840174,41534.35993314242,2025-05-01,2027-01-11 22:00:00,2028-01-25 15:00:00
24,24,Momentum Wind,17544,29832.32187517557,39526.82433632465,2025-05-01,2026-09-25 01:00:00,2027-11-02 23:00:00
25,25,Park City Wind,18288,31381.57119587453,38842.54632088941,2025-06-01,2026-11-28 14:00:00,2027-10-05 11:00:00
26,26,Coastal Virginia Offshore Wind,8784,8784.0,32445.24264840174,2024-05-01,2024-05-01 00:00:00,2027-01-11 22:00:00
27,27,Empire Wind 1,17544,25977.20794136289,31381.57119587453,2025-05-01,2026-04-17 10:00:00,2026-11-28 14:00:00
28,28,Skipjack 1,17544,28495.634908816544,29832.32187517557,2025-05-01,2026-07-31 08:00:00,2026-09-25 01:00:00
29,29,Mayflower Wind 1,17544,23308.71423873467,28495.634908816544,2025-05-01,2025-12-27 05:00:00,2026-07-31 08:00:00
30,30,Ocean Wind 1,9528,14664.0,25977.20794136289,2024-06-01,2025-01-01 00:00:00,2026-04-17 10:00:00
31,31,MarWin,9528,20636.646609380718,23308.71423873467,2024-06-01,2025-09-06 21:00:00,2025-12-27 05:00:00
32,32,Sunrise Wind 1,9528,10390.31305832393,20636.646609380718,2024-06-01,2024-07-06 23:00:00,2025-09-06 21:00:00
33,33,Revolution Wind,744,1810.4967986827264,10390.31305832393,2023-06-01,2023-07-15 11:00:00,2024-07-06 23:00:00
34,34,Vineyard Wind 1,0,0.0,6193.696590984031,2023-05-01,2023-05-01 00:00:00,2024-01-14 02:00:00
35,35,South Fork,0,0.0,1810.4967986827264,2023-05-01,2023-05-01 00:00:00,2023-07-15 11:00:00
