,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished
0,0,CIP Massachusetts,87672,119185.03508553111,134864.53223607354,2033-05-01,2036-12-04 02:00:00,2038-09-18 09:00:00
1,1,Duke Energy Renewables Wind,61368,117740.06909807428,123885.44674448257,2030-05-01,2036-10-04 21:00:00,2037-06-17 22:00:00
2,2,Atlantic Shores Offshore Wind residual,61368,109841.81041720364,123881.38472278674,2030-05-01,2035-11-10 18:00:00,2037-06-17 18:00:00
3,3,Invenergy Wind Offshore,52608,110121.5943273731,119185.03508553111,2029-05-01,2035-11-22 10:00:00,2036-12-04 02:00:00
4,4,TotalEnergies Renewables USA,61368,111254.69145166599,117740.06909807428,2030-05-01,2036-01-08 15:00:00,2036-10-04 21:00:00
5,5,Kitty Hawk residual,52608,97511.6171460829,111254.69145166599,2029-05-01,2034-06-15 00:00:00,2036-01-08 15:00:00
6,6,Community Wind,52608,97018.75320818747,110121.5943273731,2029-05-01,2034-05-25 11:00:00,2035-11-22 10:00:00
7,7,Attentive Energy,52632,100793.69296831045,109841.81041720364,2029-05-02,2034-10-29 18:00:00,2035-11-10 18:00:00
8,8,Garden State Offshore Energy,52608,91435.32568356978,100793.69296831045,2029-05-01,2033-10-04 20:00:00,2034-10-29 18:00:00
9,9,Atlantic Shores Offshore Wind Bight,52608,88504.38973329247,97511.6171460829,2029-05-01,2033-06-04 17:00:00,2034-06-15 00:00:00
10,10,Beacon Wind residual,52608,85655.993763721,97018.75320818747,2029-05-01,2033-02-06 00:00:00,2034-05-25 11:00:00
11,11,OW Ocean Winds East,52608,85624.72701327733,91435.32568356978,2029-05-01,2033-02-04 17:00:00,2033-10-04 20:00:00
12,12,Bay State Wind,43848,69570.9766020639,88504.38973329247,2028-05-01,2031-04-07 19:00:00,2033-06-04 17:00:00
13,13,Ocean Wind 2,35064,75279.92449215725,85655.993763721,2027-05-01,2031-12-01 16:00:00,2033-02-06 00:00:00
14,14,Mid-Atlantic Offshore Wind,52608,81050.00992541175,85624.72701327733,2029-05-01,2032-07-29 03:00:00,2033-02-04 17:00:00
15,15,Mayflower Wind residual,43848,75579.08925532988,81050.00992541175,2028-05-01,2031-12-14 04:00:00,2032-07-29 03:00:00
16,16,Beacon Wind 1,35064,67517.09453309665,75579.08925532988,2027-05-01,2031-01-12 06:00:00,2031-12-14 04:00:00
17,17,Sunrise Wind residual,35064,67063.43315186322,75279.92449215725,2027-05-01,2030-12-24 08:00:00,2031-12-01 16:00:00
18,18,Skipjack 2,26304,60101.805230822516,69570.9766020639,2026-05-01,2030-03-09 06:00:00,2031-04-07 19:00:00
19,19,Mayflower Wind 2,27048,65104.16416082893,67517.09453309665,2026-06-01,2030-10-03 17:00:00,2031-01-12 06:00:00
20,20,Atlantic Shores Offshore Wind 1,26304,53082.905603224295,67063.43315186322,2026-05-01,2029-05-20 19:00:00,2030-12-24 08:00:00
21,21,Commonwealth Wind,26304,53491.54498719496,65104.16416082893,2026-05-01,2029-06-06 20:00:00,2030-10-03 17:00:00
22,22,Empire Wind 2,26304,52037.68942750812,60101.805230822516,2026-05-01,2029-04-07 06:00:00,2030-03-09 06:00:00
23,23,Park City Wind,18288,46165.56986218008,53491.54498719496,2025-06-01,2028-08-05 14:00:00,2029-06-06 20:00:00
24,24,Kitty Hawk 1,17544,43876.78831848361,53082.905603224295,2025-05-01,2028-05-02 05:00:00,2029-05-20 19:00:00
25,25,Momentum Wind,17544,42222.686966359026,52037.68942750812,2025-05-01,2028-02-23 07:00:00,2029-04-07 06:00:00
26,26,Empire Wind 1,17544,40818.86877108159,46165.56986218008,2025-05-01,2027-12-26 19:00:00,2028-08-05 14:00:00
27,27,Mayflower Wind 1,17544,38841.242648401734,43876.78831848361,2025-05-01,2027-10-05 10:00:00,2028-05-02 05:00:00
28,28,Skipjack 1,17544,40944.0,42222.686966359026,2025-05-01,2028-01-01 00:00:00,2028-02-23 07:00:00
29,29,MarWin,9528,38158.801141727636,40818.86877108159,2024-06-01,2027-09-06 23:00:00,2027-12-26 19:00:00
30,30,Coastal Virginia Offshore Wind,8784,14664.0,38841.242648401734,2024-05-01,2025-01-01 00:00:00,2027-10-05 10:00:00
31,31,Ocean Wind 1,9528,26471.093200364754,38158.801141727636,2024-06-01,2026-05-08 00:00:00,2027-09-06 23:00:00
32,32,Sunrise Wind 1,9528,16276.759649307956,26471.093200364754,2024-06-01,2025-03-09 05:00:00,2026-05-08 00:00:00
33,33,Revolution Wind,744,7745.693389666758,16276.759649307956,2023-06-01,2024-03-18 18:00:00,2025-03-09 05:00:00
34,34,South Fork,0,6193.696590984031,7745.693389666758,2023-05-01,2024-01-14 02:00:00,2024-03-18 18:00:00
35,35,Vineyard Wind 1,0,0.0,6193.696590984031,2023-05-01,2023-05-01 00:00:00,2024-01-14 02:00:00
