,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished
0,0,CIP Massachusetts,87672,87672.0,101601.74715054242,2033-05-01,2033-05-01 00:00:00,2034-12-02 10:00:00
1,1,Atlantic Shores Offshore Wind residual,61368,88678.23554946153,101362.30985504462,2030-05-01,2033-06-11 23:00:00,2034-11-22 11:00:00
2,2,Attentive Energy,52632,80279.36810056833,88678.23554946153,2029-05-02,2032-06-27 00:00:00,2033-06-11 23:00:00
3,3,Garden State Offshore Energy,52608,71777.00081582765,80279.36810056833,2029-05-01,2031-07-08 18:00:00,2032-06-27 00:00:00
4,4,Invenergy Wind Offshore,52608,70481.01495157611,78621.45570973415,2029-05-01,2031-05-15 18:00:00,2032-04-18 22:00:00
5,5,Duke Energy Renewables Wind,61368,70975.45195199139,76658.82959839968,2030-05-01,2031-06-05 08:00:00,2032-01-28 03:00:00
6,6,Atlantic Shores Offshore Wind Bight,52608,63777.02340303721,71777.00081582765,2029-05-01,2030-08-09 10:00:00,2031-07-08 18:00:00
7,7,TotalEnergies Renewables USA,61368,65292.07430558309,70975.45195199139,2030-05-01,2030-10-11 13:00:00,2031-06-05 08:00:00
8,8,Community Wind,52608,58464.17383239049,70481.01495157611,2029-05-01,2029-12-31 01:00:00,2031-05-15 18:00:00
9,9,OW Ocean Winds East,61368,61368.0,66408.78368232671,2030-05-01,2030-05-01 00:00:00,2030-11-27 01:00:00
10,10,Kitty Hawk residual,52608,52608.0,65292.07430558309,2029-05-01,2029-05-01 00:00:00,2030-10-11 13:00:00
11,11,Mid-Atlantic Offshore Wind,52608,59254.55631517163,63777.02340303721,2029-05-01,2030-02-01 23:00:00,2030-08-09 10:00:00
12,12,Bay State Wind,43848,45373.859933142405,62659.77306437097,2028-05-01,2028-07-03 14:00:00,2030-06-23 20:00:00
13,13,Beacon Wind residual,52608,53984.063992612544,60903.08538151245,2029-05-01,2029-06-27 09:00:00,2030-04-11 16:00:00
14,14,Beacon Wind 1,52608,52954.608561079556,60045.14819303529,2029-05-01,2029-05-15 11:00:00,2030-03-06 22:00:00
15,15,Ocean Wind 2,35064,49527.737043607885,59254.55631517163,2027-05-01,2028-12-23 16:00:00,2030-02-01 23:00:00
16,16,Skipjack 2,27768,49895.752461149095,58464.17383239049,2026-07-01,2029-01-08 00:00:00,2029-12-31 01:00:00
17,17,Mayflower Wind residual,43848,49281.64332253067,53984.063992612544,2028-05-01,2028-12-13 10:00:00,2029-06-27 09:00:00
18,18,Empire Wind 2,43848,45712.9510910985,52954.608561079556,2028-05-01,2028-07-17 17:00:00,2029-05-15 11:00:00
19,19,Momentum Wind,26304,40944.0,49895.752461149095,2026-05-01,2028-01-01 00:00:00,2029-01-08 00:00:00
20,20,Atlantic Shores Offshore Wind 1,26304,36715.95949496896,49527.737043607885,2026-05-01,2027-07-08 20:00:00,2028-12-23 16:00:00
21,21,Sunrise Wind residual,35064,44156.161030855736,49281.64332253067,2027-05-01,2028-05-13 21:00:00,2028-12-13 10:00:00
22,22,Empire Wind 1,35064,40944.0,45712.9510910985,2027-05-01,2028-01-01 00:00:00,2028-07-17 17:00:00
23,23,Kitty Hawk 1,17544,36871.49264840172,45373.859933142405,2025-05-01,2027-07-15 08:00:00,2028-07-03 14:00:00
24,24,Mayflower Wind 2,27048,41768.25235007254,44156.161030855736,2026-06-01,2028-02-04 09:00:00,2028-05-13 21:00:00
25,25,Commonwealth Wind,26304,34584.55114172764,41768.25235007254,2026-05-01,2027-04-11 01:00:00,2028-02-04 09:00:00
26,26,Coastal Virginia Offshore Wind,8784,14664.0,36871.49264840172,2024-05-01,2025-01-01 00:00:00,2027-07-15 08:00:00
27,27,Skipjack 1,19008,35457.77252860994,36715.95949496896,2025-07-01,2027-05-17 10:00:00,2027-07-08 20:00:00
28,28,MarWin,18288,32815.70489925599,35457.77252860994,2025-06-01,2027-01-27 08:00:00,2027-05-17 10:00:00
29,29,Ocean Wind 1,18288,23994.84320036475,34584.55114172764,2025-06-01,2026-01-24 19:00:00,2027-04-11 01:00:00
30,30,Park City Wind,18288,28126.42067008188,32815.70489925599,2025-06-01,2026-07-15 23:00:00,2027-01-27 08:00:00
31,31,Mayflower Wind 1,17544,23424.0,28126.42067008188,2025-05-01,2026-01-01 00:00:00,2026-07-15 23:00:00
32,32,Sunrise Wind 1,9528,14669.75964930795,23994.84320036475,2024-06-01,2025-01-01 06:00:00,2026-01-24 19:00:00
33,33,Revolution Wind,744,6811.693389666756,14669.75964930795,2023-06-01,2024-02-08 20:00:00,2025-01-01 06:00:00
34,34,South Fork,0,5348.696590984029,6811.693389666756,2023-05-01,2023-12-09 21:00:00,2024-02-08 20:00:00
35,35,Vineyard Wind 1,0,0.0,5348.696590984029,2023-05-01,2023-05-01 00:00:00,2023-12-09 21:00:00
