,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished
0,0,Atlantic Shores Offshore Wind residual,61368,122857.44178676867,137162.01609235175,2030-05-01,2037-05-06 02:00:00,2038-12-23 03:00:00
1,1,Attentive Energy,52632,113551.82433787547,122857.44178676867,2029-05-02,2036-04-13 08:00:00,2037-05-06 02:00:00
2,2,Garden State Offshore Energy,52608,104062.45705313479,113551.82433787547,2029-05-01,2035-03-14 23:00:00,2036-04-13 08:00:00
3,3,Invenergy Wind Offshore,52608,95012.01629497677,104062.45705313479,2029-05-01,2034-03-02 21:00:00,2035-03-14 23:00:00
4,4,CIP Massachusetts,87672,87672.0,103066.74715054242,2033-05-01,2033-05-01 00:00:00,2035-02-01 11:00:00
5,5,Atlantic Shores Offshore Wind Bight,52608,86195.53888218633,95012.01629497677,2029-05-01,2033-02-28 12:00:00,2034-03-02 21:00:00
6,6,Duke Energy Renewables Wind,61368,85577.29307117702,91974.17071758531,2030-05-01,2033-02-02 18:00:00,2033-10-27 07:00:00
7,7,Mid-Atlantic Offshore Wind,52608,81615.57179432076,86195.53888218633,2029-05-01,2032-08-21 16:00:00,2033-02-28 12:00:00
8,8,TotalEnergies Renewables USA,61368,79575.66542476873,85577.29307117702,2030-05-01,2032-05-28 16:00:00,2033-02-02 18:00:00
9,9,Ocean Wind 2,35064,70826.25252275701,81615.57179432076,2027-05-01,2031-05-30 03:00:00,2032-08-21 16:00:00
10,10,Kitty Hawk residual,52608,65714.09111918563,79575.66542476873,2029-05-01,2030-10-29 03:00:00,2032-05-28 16:00:00
11,11,Skipjack 2,27768,61402.58115151564,70826.25252275701,2026-07-01,2030-05-02 11:00:00,2031-05-30 03:00:00
12,12,OW Ocean Winds East,61368,62098.81819303527,67688.69354202865,2030-05-01,2030-05-31 11:00:00,2031-01-19 09:00:00
13,13,Community Wind,52608,52608.0,65714.09111918563,2029-05-01,2029-05-01 00:00:00,2030-10-29 03:00:00
14,14,Beacon Wind residual,52608,55393.91784041839,63100.68922931829,2029-05-01,2029-08-25 02:00:00,2030-07-12 05:00:00
15,15,Bay State Wind,43848,43848.0,62555.913131228575,2028-05-01,2028-05-01 00:00:00,2030-06-19 12:00:00
16,16,Beacon Wind 1,52608,54254.986894412876,62098.81819303527,2029-05-01,2029-07-08 15:00:00,2030-05-31 11:00:00
17,17,Momentum Wind,26304,51596.07869036655,61402.58115151564,2026-05-01,2029-03-19 21:00:00,2030-05-02 11:00:00
18,18,Mayflower Wind residual,43848,49904.43717033652,55393.91784041839,2028-05-01,2029-01-08 09:00:00,2029-08-25 02:00:00
19,19,Empire Wind 2,43848,46295.91109109849,54254.986894412876,2028-05-01,2028-08-11 00:00:00,2029-07-08 15:00:00
20,20,Skipjack 1,19008,50639.17756249636,52105.61452885539,2025-07-01,2029-02-08 00:00:00,2029-04-10 02:00:00
21,21,Atlantic Shores Offshore Wind 1,26304,38158.801141727636,51596.07869036655,2026-05-01,2027-09-06 23:00:00,2029-03-19 21:00:00
22,22,MarWin,18288,47944.10993314241,50639.17756249636,2025-06-01,2028-10-18 17:00:00,2029-02-08 00:00:00
23,23,Sunrise Wind residual,35064,44375.41321199491,49904.43717033652,2027-05-01,2028-05-23 00:00:00,2029-01-08 09:00:00
24,24,Kitty Hawk 1,17544,38841.242648401734,47944.10993314241,2025-05-01,2027-10-05 10:00:00,2028-10-18 17:00:00
25,25,Empire Wind 1,35064,40944.0,46295.91109109849,2027-05-01,2028-01-01 00:00:00,2028-08-11 00:00:00
26,26,Mayflower Wind 2,27048,41738.69453121171,44375.41321199491,2026-06-01,2028-02-03 03:00:00,2028-05-23 00:00:00
27,27,Commonwealth Wind,26304,33645.551475645145,41738.69453121171,2026-05-01,2027-03-02 22:00:00,2028-02-03 03:00:00
28,28,Coastal Virginia Offshore Wind,8784,14664.0,38841.242648401734,2024-05-01,2025-01-01 00:00:00,2027-10-05 10:00:00
29,29,Ocean Wind 1,18288,26471.093200364754,38158.801141727636,2025-06-01,2026-05-08 00:00:00,2027-09-06 23:00:00
30,30,Park City Wind,18288,28602.170670081876,33645.551475645145,2025-06-01,2026-08-04 19:00:00,2027-03-02 22:00:00
31,31,Mayflower Wind 1,17544,23424.0,28602.170670081876,2025-05-01,2026-01-01 00:00:00,2026-08-04 19:00:00
32,32,Sunrise Wind 1,9528,16276.759649307956,26471.093200364754,2024-06-01,2025-03-09 05:00:00,2026-05-08 00:00:00
33,33,Revolution Wind,744,7745.693389666758,16276.759649307956,2023-06-01,2024-03-18 18:00:00,2025-03-09 05:00:00
34,34,South Fork,0,6193.696590984031,7745.693389666758,2023-05-01,2024-01-14 02:00:00,2024-03-18 18:00:00
35,35,Vineyard Wind 1,0,0.0,6193.696590984031,2023-05-01,2023-05-01 00:00:00,2024-01-14 02:00:00
