,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished
0,0,CIP Massachusetts,87672,87672.0,101601.74715054242,2033-05-01,2033-05-01 00:00:00,2034-12-02 10:00:00
1,1,Invenergy Wind Offshore,52608,80313.41117550989,88453.8519336679,2029-05-01,2032-06-28 10:00:00,2033-06-02 14:00:00
2,2,Duke Energy Renewables Wind,61368,79170.70980674539,84854.08745315368,2030-05-01,2032-05-11 19:00:00,2033-01-03 15:00:00
3,3,Community Wind,52608,68296.57005632426,80313.41117550989,2029-05-01,2031-02-13 17:00:00,2032-06-28 10:00:00
4,4,TotalEnergies Renewables USA,61368,73487.3321603371,79170.70980674539,2030-05-01,2031-09-18 00:00:00,2032-05-11 19:00:00
5,5,Atlantic Shores Offshore Wind residual,61368,65632.83437260626,78316.90867818936,2030-05-01,2030-10-25 17:00:00,2032-04-06 05:00:00
6,6,Kitty Hawk residual,52608,60803.25785475401,73487.3321603371,2029-05-01,2030-04-07 12:00:00,2031-09-18 00:00:00
7,7,Attentive Energy,52632,62741.70423179126,71140.57168068446,2029-05-02,2030-06-27 06:00:00,2031-06-12 05:00:00
8,8,OW Ocean Winds East,61368,63879.04620012213,68919.82988244884,2030-05-01,2030-08-13 16:00:00,2031-03-11 16:00:00
9,9,Beacon Wind residual,52608,58154.06061185778,68296.57005632426,2029-05-01,2029-12-18 03:00:00,2031-02-13 17:00:00
10,10,Garden State Offshore Energy,52608,57130.46708786558,65632.83437260626,2029-05-01,2029-11-05 11:00:00,2030-10-25 17:00:00
11,11,Bay State Wind,43848,47396.328690366565,64682.24182159513,2028-05-01,2028-09-25 21:00:00,2030-09-16 03:00:00
12,12,Beacon Wind 1,52608,56788.5065681664,63879.04620012213,2029-05-01,2029-10-22 05:00:00,2030-08-13 16:00:00
13,13,Commonwealth Wind,43848,52213.58505815729,62741.70423179126,2028-05-01,2029-04-14 14:00:00,2030-06-27 06:00:00
14,14,Atlantic Shores Offshore Wind Bight,52608,52803.28044196357,60803.25785475401,2029-05-01,2029-05-09 04:00:00,2030-04-07 12:00:00
15,15,Ocean Wind 2,35064,48427.24134029404,58154.06061185778,2027-05-01,2028-11-07 20:00:00,2029-12-18 03:00:00
16,16,Mid-Atlantic Offshore Wind,52608,52608.0,57130.46708786558,2029-05-01,2029-05-01 00:00:00,2029-11-05 11:00:00
17,17,Empire Wind 2,43848,49546.84909818534,56788.5065681664,2028-05-01,2028-12-24 11:00:00,2029-10-22 05:00:00
18,18,Mayflower Wind residual,43848,48100.859771881696,52803.28044196357,2028-05-01,2028-10-25 05:00:00,2029-05-09 04:00:00
19,19,Park City Wind,35808,45373.859933142405,52213.58505815729,2027-06-01,2028-07-03 14:00:00,2029-04-14 14:00:00
20,20,Skipjack 2,27768,40978.42772694395,49546.84909818534,2026-07-01,2028-01-02 11:00:00,2028-12-24 11:00:00
21,21,Sunrise Wind residual,35064,40944.0,48427.24134029404,2027-05-01,2028-01-01 00:00:00,2028-11-07 20:00:00
22,22,Empire Wind 1,35064,43331.9086807832,48100.859771881696,2027-05-01,2028-04-09 12:00:00,2028-10-25 05:00:00
23,23,Atlantic Shores Offshore Wind 1,26304,34584.55114172764,47396.328690366565,2026-05-01,2027-04-11 01:00:00,2028-09-25 21:00:00
24,24,Kitty Hawk 1,17544,36871.49264840172,45373.859933142405,2025-05-01,2027-07-15 08:00:00,2028-07-03 14:00:00
25,25,Mayflower Wind 2,27048,40944.0,43331.9086807832,2026-06-01,2028-01-01 00:00:00,2028-04-09 12:00:00
26,26,Momentum Wind,26304,32026.675265794856,40978.42772694395,2026-05-01,2026-12-25 11:00:00,2028-01-02 11:00:00
27,27,Coastal Virginia Offshore Wind,8784,14664.0,36871.49264840172,2024-05-01,2025-01-01 00:00:00,2027-07-15 08:00:00
28,28,Ocean Wind 1,18288,23994.84320036475,34584.55114172764,2025-06-01,2026-01-24 19:00:00,2027-04-11 01:00:00
29,29,Skipjack 1,19008,30768.48829943583,32026.675265794856,2025-07-01,2026-11-03 01:00:00,2026-12-25 11:00:00
30,30,MarWin,18288,28126.42067008188,30768.48829943583,2025-06-01,2026-07-15 23:00:00,2026-11-03 01:00:00
31,31,Mayflower Wind 1,17544,23424.0,28126.42067008188,2025-05-01,2026-01-01 00:00:00,2026-07-15 23:00:00
32,32,Sunrise Wind 1,9528,14669.75964930795,23994.84320036475,2024-06-01,2025-01-01 06:00:00,2026-01-24 19:00:00
33,33,Revolution Wind,744,6811.693389666756,14669.75964930795,2023-06-01,2024-02-08 20:00:00,2025-01-01 06:00:00
34,34,South Fork,0,5348.696590984029,6811.693389666756,2023-05-01,2023-12-09 21:00:00,2024-02-08 20:00:00
35,35,Vineyard Wind 1,0,0.0,5348.696590984029,2023-05-01,2023-05-01 00:00:00,2023-12-09 21:00:00
