,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished
0,0,CIP Massachusetts,96432,96432.0,111598.49715054242,2034-05-01,2034-05-01 00:00:00,2036-01-22 23:00:00
1,1,Invenergy Wind Offshore,61368,90548.05260835394,99537.74336651196,2030-05-01,2033-08-28 21:00:00,2034-09-07 10:00:00
2,2,Community Wind,61368,76975.21148916832,90548.05260835394,2030-05-01,2032-02-10 08:00:00,2033-08-28 21:00:00
3,3,Duke Energy Renewables Wind,61368,82234.27014502666,88258.64779143495,2030-05-01,2032-09-16 11:00:00,2033-05-25 11:00:00
4,4,Atlantic Shores Offshore Wind residual,61368,69107.86192124519,83158.43622682829,2030-05-01,2031-03-19 12:00:00,2032-10-24 23:00:00
5,5,TotalEnergies Renewables USA,61368,75913.39249861837,82234.27014502666,2030-05-01,2031-12-28 02:00:00,2032-09-16 11:00:00
6,6,Beacon Wind residual,61368,66173.70204470184,76975.21148916832,2030-05-01,2030-11-17 06:00:00,2032-02-10 08:00:00
7,7,Kitty Hawk residual,52608,62098.81819303527,75913.39249861837,2029-05-01,2030-05-31 11:00:00,2031-12-28 02:00:00
8,8,Attentive Energy,52632,63890.41477435682,73071.03222325,2029-05-02,2030-08-14 03:00:00,2031-08-31 16:00:00
9,9,Bay State Wind,52608,52608.0,71435.41313122856,2029-05-01,2029-05-01 00:00:00,2031-06-24 12:00:00
10,10,Garden State Offshore Energy,52608,59753.24463650451,69107.86192124519,2029-05-01,2030-02-22 18:00:00,2031-03-19 12:00:00
11,11,OW Ocean Winds East,61368,62454.20103047401,67907.73471280072,2030-05-01,2030-06-15 07:00:00,2031-01-28 12:00:00
12,12,Ocean Wind 2,43848,55723.88277313811,66173.70204470184,2028-05-01,2029-09-07 20:00:00,2030-11-17 06:00:00
13,13,Atlantic Shores Offshore Wind Bight,52608,55233.937361566386,63890.41477435682,2029-05-01,2029-08-18 10:00:00,2030-08-14 03:00:00
14,14,Commonwealth Wind,35064,50841.58185684004,62454.20103047401,2027-05-01,2029-02-16 10:00:00,2030-06-15 07:00:00
15,15,Beacon Wind 1,43848,54254.986894412876,62098.81819303527,2028-05-01,2029-07-08 15:00:00,2030-05-31 11:00:00
16,16,Mid-Atlantic Offshore Wind,52608,55072.27754863893,59753.24463650451,2029-05-01,2029-08-11 17:00:00,2030-02-22 18:00:00
17,17,Sunrise Wind residual,43848,47489.39143284408,55723.88277313811,2028-05-01,2028-09-29 18:00:00,2029-09-07 20:00:00
18,18,Mayflower Wind residual,43848,49728.0,55233.937361566386,2028-05-01,2029-01-01 00:00:00,2029-08-18 10:00:00
19,19,Atlantic Shores Offshore Wind 1,26304,40944.0,55072.27754863893,2026-05-01,2028-01-01 00:00:00,2029-08-11 17:00:00
20,20,Empire Wind 2,35064,46295.91109109849,54254.986894412876,2027-05-01,2028-08-11 00:00:00,2029-07-08 15:00:00
21,21,Skipjack 2,26304,42651.531035459426,51952.95240670082,2026-05-01,2028-03-12 04:00:00,2029-04-03 17:00:00
22,22,Park City Wind,27048,43522.35673182516,50841.58185684004,2026-06-01,2028-04-17 11:00:00,2029-02-16 10:00:00
23,23,Mayflower Wind 2,27048,44893.35775206088,47489.39143284408,2026-06-01,2028-06-13 14:00:00,2028-09-29 18:00:00
24,24,Empire Wind 1,26304,40944.0,46295.91109109849,2026-05-01,2028-01-01 00:00:00,2028-08-11 00:00:00
25,25,Sunrise Wind 1,18288,34585.02420100409,44893.35775206088,2025-06-01,2027-04-11 02:00:00,2028-06-13 14:00:00
26,26,Kitty Hawk 1,17544,34210.489447084474,43522.35673182516,2025-05-01,2027-03-26 11:00:00,2028-04-17 11:00:00
27,27,Momentum Wind,17544,32920.77857431034,42651.531035459426,2025-05-01,2027-01-31 17:00:00,2028-03-12 04:00:00
28,28,Ocean Wind 1,9528,23106.0662596412,34585.02420100409,2024-06-01,2025-12-18 19:00:00,2027-04-11 02:00:00
29,29,Coastal Virginia Offshore Wind,8784,10389.246798682727,34210.489447084474,2024-05-01,2024-07-06 22:00:00,2027-03-26 11:00:00
30,30,Skipjack 1,17544,31545.34160795131,32920.77857431034,2025-05-01,2026-12-05 10:00:00,2027-01-31 17:00:00
31,31,Mayflower Wind 1,17544,26242.31762935395,31545.34160795131,2025-05-01,2026-04-28 11:00:00,2026-12-05 10:00:00
32,32,MarWin,9528,23424.0,26242.31762935395,2024-06-01,2026-01-01 00:00:00,2026-04-28 11:00:00
33,33,Revolution Wind,9528,14664.0,23106.0662596412,2024-06-01,2025-01-01 00:00:00,2025-12-18 19:00:00
34,34,South Fork,8784,8784.0,10389.246798682727,2024-05-01,2024-05-01 00:00:00,2024-07-06 22:00:00
35,35,Vineyard Wind 1,0,0.0,6193.696590984031,2023-05-01,2023-05-01 00:00:00,2024-01-14 02:00:00
