,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished
0,0,CIP Massachusetts,87672,87672.0,103066.74715054242,2033-05-01,2033-05-01 00:00:00,2035-02-01 11:00:00
1,1,Invenergy Wind Offshore,52608,83748.66117550987,92514.85193366789,2029-05-01,2032-11-18 13:00:00,2033-11-18 19:00:00
2,2,Community Wind,52608,70687.57005632424,83748.66117550987,2029-05-01,2031-05-24 08:00:00,2032-11-18 13:00:00
3,3,Atlantic Shores Offshore Wind residual,61368,66607.08437260626,80541.40867818936,2030-05-01,2030-12-05 08:00:00,2032-07-07 22:00:00
4,4,Duke Energy Renewables Wind,61368,72736.45195199139,78802.82959839968,2030-05-01,2031-08-17 17:00:00,2032-04-26 11:00:00
5,5,TotalEnergies Renewables USA,61368,66394.0743055831,72736.45195199139,2030-05-01,2030-11-26 11:00:00,2031-08-17 17:00:00
6,6,Beacon Wind residual,52608,59396.81061185776,70687.57005632424,2029-05-01,2030-02-07 21:00:00,2031-05-24 08:00:00
7,7,Attentive Energy,52632,61270.72741279044,70439.59486168364,2029-05-02,2030-04-26 23:00:00,2031-05-14 00:00:00
8,8,Garden State Offshore Energy,52608,57455.21708786558,66607.08437260626,2029-05-01,2029-11-19 00:00:00,2030-12-05 08:00:00
9,9,Kitty Hawk residual,52608,52608.0,66394.0743055831,2029-05-01,2029-05-01 00:00:00,2030-11-26 11:00:00
10,10,Bay State Wind,43848,43848.0,62555.913131228575,2028-05-01,2028-05-01 00:00:00,2030-06-19 12:00:00
11,11,Atlantic Shores Offshore Wind Bight,52608,52608.0,61270.72741279044,2029-05-01,2029-05-01 00:00:00,2030-04-26 23:00:00
12,12,Ocean Wind 2,35064,48978.49134029403,59396.81061185776,2027-05-01,2028-11-30 19:00:00,2030-02-07 21:00:00
13,13,OW Ocean Winds East,52608,52608.0,58163.12534899338,2029-05-01,2029-05-01 00:00:00,2029-12-18 12:00:00
14,14,Mid-Atlantic Offshore Wind,52608,52608.0,57455.21708786558,2029-05-01,2029-05-01 00:00:00,2029-11-19 00:00:00
15,15,Mayflower Wind residual,43848,46483.31874011237,51426.54941019425,2028-05-01,2028-08-18 20:00:00,2029-03-12 19:00:00
16,16,Atlantic Shores Offshore Wind 1,26304,36773.61473099973,50352.89227963865,2026-05-01,2027-07-11 06:00:00,2029-01-27 01:00:00
17,17,Beacon Wind 1,35064,41534.35993314242,49474.94123176481,2027-05-01,2028-01-25 15:00:00,2028-12-21 11:00:00
18,18,Sunrise Wind residual,35064,40944.0,48978.49134029403,2027-05-01,2028-01-01 00:00:00,2028-11-30 19:00:00
19,19,Commonwealth Wind,26304,36042.86003383143,47339.229207465396,2026-05-01,2027-06-10 19:00:00,2028-09-23 12:00:00
20,20,Skipjack 2,26304,37340.147368870996,46483.31874011237,2026-05-01,2027-08-03 21:00:00,2028-08-18 20:00:00
21,21,Mayflower Wind 2,27048,40944.0,43603.4086807832,2026-06-01,2028-01-01 00:00:00,2028-04-20 20:00:00
22,22,Kitty Hawk 1,17544,32445.24264840174,41534.35993314242,2025-05-01,2027-01-11 22:00:00,2028-01-25 15:00:00
23,23,Momentum Wind,17544,27425.144907721915,37340.147368870996,2025-05-01,2026-06-16 18:00:00,2027-08-03 21:00:00
24,24,Empire Wind 2,26304,28685.91109109849,36773.61473099973,2026-05-01,2026-08-08 06:00:00,2027-07-11 06:00:00
25,25,Park City Wind,18288,28495.634908816544,36042.86003383143,2025-06-01,2026-07-31 08:00:00,2027-06-10 19:00:00
26,26,Coastal Virginia Offshore Wind,8784,8784.0,32445.24264840174,2024-05-01,2024-05-01 00:00:00,2027-01-11 22:00:00
27,27,Empire Wind 1,17544,23424.0,28685.91109109849,2025-05-01,2026-01-01 00:00:00,2026-08-08 06:00:00
28,28,Mayflower Wind 1,17544,23308.71423873467,28495.634908816544,2025-05-01,2025-12-27 05:00:00,2026-07-31 08:00:00
29,29,Skipjack 1,17544,25977.20794136289,27425.144907721915,2025-05-01,2026-04-17 10:00:00,2026-06-16 18:00:00
30,30,Ocean Wind 1,9528,14664.0,25977.20794136289,2024-06-01,2025-01-01 00:00:00,2026-04-17 10:00:00
31,31,MarWin,9528,20636.646609380718,23308.71423873467,2024-06-01,2025-09-06 21:00:00,2025-12-27 05:00:00
32,32,Sunrise Wind 1,9528,10390.31305832393,20636.646609380718,2024-06-01,2024-07-06 23:00:00,2025-09-06 21:00:00
33,33,Revolution Wind,744,1810.4967986827264,10390.31305832393,2023-06-01,2023-07-15 11:00:00,2024-07-06 23:00:00
34,34,Vineyard Wind 1,0,0.0,6193.696590984031,2023-05-01,2023-05-01 00:00:00,2024-01-14 02:00:00
35,35,South Fork,0,0.0,1810.4967986827264,2023-05-01,2023-05-01 00:00:00,2023-07-15 11:00:00
