,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished
0,0,CIP Massachusetts,87672,87672.0,103066.74715054242,2033-05-01,2033-05-01 00:00:00,2035-02-01 11:00:00
1,1,Invenergy Wind Offshore,52608,77924.16117550989,86785.6019336679,2029-05-01,2032-03-20 21:00:00,2033-03-25 02:00:00
2,2,Atlantic Shores Offshore Wind residual,61368,66607.08437260626,80541.40867818936,2030-05-01,2030-12-05 08:00:00,2032-07-07 22:00:00
3,3,Duke Energy Renewables Wind,61368,72736.45195199139,78802.82959839968,2030-05-01,2031-08-17 17:00:00,2032-04-26 11:00:00
4,4,Community Wind,52608,64970.82005632426,77924.16117550989,2029-05-01,2030-09-28 03:00:00,2032-03-20 21:00:00
5,5,TotalEnergies Renewables USA,61368,66394.0743055831,72736.45195199139,2030-05-01,2030-11-26 11:00:00,2031-08-17 17:00:00
6,6,Attentive Energy,52632,61270.72741279044,70439.59486168364,2029-05-02,2030-04-26 23:00:00,2031-05-14 00:00:00
7,7,OW Ocean Winds East,61368,62098.81819303527,67688.69354202865,2030-05-01,2030-05-31 11:00:00,2031-01-19 09:00:00
8,8,Garden State Offshore Energy,52608,57455.21708786558,66607.08437260626,2029-05-01,2029-11-19 00:00:00,2030-12-05 08:00:00
9,9,Kitty Hawk residual,52608,52608.0,66394.0743055831,2029-05-01,2029-05-01 00:00:00,2030-11-26 11:00:00
10,10,Beacon Wind residual,52608,53881.56061185778,64970.82005632426,2029-05-01,2029-06-23 02:00:00,2030-09-28 03:00:00
11,11,Bay State Wind,43848,43848.0,62555.913131228575,2028-05-01,2028-05-01 00:00:00,2030-06-19 12:00:00
12,12,Beacon Wind 1,52608,54254.986894412876,62098.81819303527,2029-05-01,2029-07-08 15:00:00,2030-05-31 11:00:00
13,13,Atlantic Shores Offshore Wind Bight,52608,52608.0,61270.72741279044,2029-05-01,2029-05-01 00:00:00,2030-04-26 23:00:00
14,14,Commonwealth Wind,43848,48324.225125014884,59507.59429864885,2028-05-01,2028-11-03 13:00:00,2030-02-12 12:00:00
15,15,Mid-Atlantic Offshore Wind,52608,52608.0,57455.21708786558,2029-05-01,2029-05-01 00:00:00,2029-11-19 00:00:00
16,16,Empire Wind 2,43848,46295.91109109849,54254.986894412876,2028-05-01,2028-08-11 00:00:00,2029-07-08 15:00:00
17,17,Ocean Wind 2,35064,43183.24134029404,53881.56061185778,2027-05-01,2028-04-03 08:00:00,2029-06-23 02:00:00
18,18,Mayflower Wind residual,43848,45843.13209938253,50770.78107797989,2028-05-01,2028-07-23 04:00:00,2029-02-13 11:00:00
19,19,Park City Wind,35808,40944.0,48324.225125014884,2027-06-01,2028-01-01 00:00:00,2028-11-03 13:00:00
20,20,Empire Wind 1,35064,40944.0,46295.91109109849,2027-05-01,2028-01-01 00:00:00,2028-08-11 00:00:00
21,21,Skipjack 2,27768,36984.074418428456,46256.74578966984,2026-07-01,2027-07-20 01:00:00,2028-08-09 09:00:00
22,22,Atlantic Shores Offshore Wind 1,26304,31852.8545507436,45843.13209938253,2026-05-01,2026-12-18 05:00:00,2028-07-23 04:00:00
23,23,Sunrise Wind residual,35064,35064.0,43183.24134029404,2027-05-01,2027-05-01 00:00:00,2028-04-03 08:00:00
24,24,Kitty Hawk 1,17544,32445.24264840174,41534.35993314242,2025-05-01,2027-01-11 22:00:00,2028-01-25 15:00:00
25,25,Momentum Wind,26304,27181.321957279368,36984.074418428456,2026-05-01,2026-06-06 14:00:00,2027-07-20 01:00:00
26,26,Coastal Virginia Offshore Wind,8784,8784.0,32445.24264840174,2024-05-01,2024-05-01 00:00:00,2027-01-11 22:00:00
27,27,Ocean Wind 1,18288,20636.646609380718,31852.8545507436,2025-06-01,2025-09-06 21:00:00,2026-12-18 05:00:00
28,28,Mayflower Wind 2,27048,27048.0,29680.408680783203,2026-06-01,2026-06-01 00:00:00,2026-09-18 17:00:00
29,29,Skipjack 1,19008,25706.63499092034,27181.321957279368,2025-07-01,2026-04-06 03:00:00,2026-06-06 14:00:00
30,30,MarWin,18288,22930.56736156639,25706.63499092034,2025-06-01,2025-12-11 11:00:00,2026-04-06 03:00:00
31,31,Mayflower Wind 1,17544,17544.0,22930.56736156639,2025-05-01,2025-05-01 00:00:00,2025-12-11 11:00:00
32,32,Sunrise Wind 1,9528,10390.31305832393,20636.646609380718,2024-06-01,2024-07-06 23:00:00,2025-09-06 21:00:00
33,33,Revolution Wind,744,1810.4967986827264,10390.31305832393,2023-06-01,2023-07-15 11:00:00,2024-07-06 23:00:00
34,34,Vineyard Wind 1,0,0.0,6193.696590984031,2023-05-01,2023-05-01 00:00:00,2024-01-14 02:00:00
35,35,South Fork,0,0.0,1810.4967986827264,2023-05-01,2023-05-01 00:00:00,2023-07-15 11:00:00
