,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished
0,0,Atlantic Shores Offshore Wind residual,61368,105521.40886465966,118353.99507500464,2030-05-01,2035-05-14 18:00:00,2036-10-30 10:00:00
1,1,CIP Massachusetts,87672,100274.29256727408,114166.67543210225,2033-05-01,2034-10-08 03:00:00,2036-05-08 23:00:00
2,2,Duke Energy Renewables Wind,61368,105726.78565233569,111435.87758445827,2030-05-01,2035-05-23 07:00:00,2036-01-16 04:00:00
3,3,TotalEnergies Renewables USA,61368,100017.69372021311,105726.78565233569,2030-05-01,2034-09-27 10:00:00,2035-05-23 07:00:00
4,4,Attentive Energy,52632,97132.73189195695,105521.40886465966,2029-05-02,2034-05-30 05:00:00,2035-05-14 18:00:00
5,5,OW Ocean Winds East,61368,95177.07030148455,100274.29256727408,2030-05-01,2034-03-09 18:00:00,2034-10-08 03:00:00
6,6,Invenergy Wind Offshore,52608,91899.76724776937,100017.69372021311,2029-05-01,2033-10-24 04:00:00,2034-09-27 10:00:00
7,7,Garden State Offshore Energy,52608,88535.38841674008,97132.73189195695,2029-05-01,2033-06-06 00:00:00,2034-05-30 05:00:00
8,8,Kitty Hawk residual,52608,82344.48409113957,95177.07030148455,2029-05-01,2032-09-21 01:00:00,2034-03-09 18:00:00
9,9,Community Wind,52608,79899.1547000123,91899.76724776937,2029-05-01,2032-06-11 04:00:00,2033-10-24 04:00:00
10,10,Atlantic Shores Offshore Wind Bight,52608,80548.90862299727,88535.38841674008,2029-05-01,2032-07-08 05:00:00,2033-06-06 00:00:00
11,11,Beacon Wind 1,52608,75185.58597803277,82344.48409113957,2029-05-01,2031-11-27 18:00:00,2032-09-21 01:00:00
12,12,Mid-Atlantic Offshore Wind,52608,76042.91772560788,80548.90862299727,2029-05-01,2032-01-02 11:00:00,2032-07-08 05:00:00
13,13,Bay State Wind,43848,62656.310616402756,79899.1547000123,2028-05-01,2030-06-23 17:00:00,2032-06-11 04:00:00
14,14,Beacon Wind residual,52608,69057.07952222358,76042.91772560788,2029-05-01,2031-03-17 10:00:00,2032-01-02 11:00:00
15,15,Empire Wind 2,43848,67889.2916032898,75185.58597803277,2028-05-01,2031-01-27 18:00:00,2031-11-27 18:00:00
16,16,Ocean Wind 2,35064,59303.550726850306,69057.07952222358,2027-05-01,2030-02-04 00:00:00,2031-03-17 10:00:00
17,17,Mayflower Wind residual,43848,63129.79567029484,67889.2916032898,2028-05-01,2030-07-13 10:00:00,2031-01-27 18:00:00
18,18,Skipjack 2,27768,54481.171918101085,63129.79567029484,2026-07-01,2029-07-18 02:00:00,2030-07-13 10:00:00
19,19,Empire Wind 1,35064,57849.63928720902,62656.310616402756,2027-05-01,2029-12-05 10:00:00,2030-06-23 17:00:00
20,20,Sunrise Wind residual,35064,54127.59819708013,59303.550726850306,2027-05-01,2029-07-03 08:00:00,2030-02-04 00:00:00
21,21,Atlantic Shores Offshore Wind 1,26304,44886.26650047488,57849.63928720902,2026-05-01,2028-06-13 07:00:00,2029-12-05 10:00:00
22,22,Momentum Wind,26304,45452.46707599962,54481.171918101085,2026-05-01,2028-07-06 21:00:00,2029-07-18 02:00:00
23,23,Mayflower Wind 2,27048,51708.88594486836,54127.59819708013,2026-06-01,2029-03-24 13:00:00,2029-07-03 08:00:00
24,24,Commonwealth Wind,26304,44456.21449842822,51708.88594486836,2026-05-01,2028-05-26 09:00:00,2029-03-24 13:00:00
25,25,Kitty Hawk 1,17544,36855.123600782754,45452.46707599962,2025-05-01,2027-07-14 16:00:00,2028-07-06 21:00:00
26,26,Skipjack 1,19008,43614.210486496806,44886.26650047488,2025-07-01,2028-04-21 07:00:00,2028-06-13 07:00:00
27,27,Ocean Wind 1,18288,33789.387509446264,44456.21449842822,2025-06-01,2027-03-08 22:00:00,2028-05-26 09:00:00
28,28,MarWin,18288,40944.0,43614.210486496806,2025-06-01,2028-01-01 00:00:00,2028-04-21 07:00:00
29,29,Coastal Virginia Offshore Wind,8784,14664.0,36855.123600782754,2024-05-01,2025-01-01 00:00:00,2027-07-14 16:00:00
30,30,Park City Wind,18288,29053.32813245442,33789.387509446264,2025-06-01,2026-08-23 14:00:00,2027-03-08 22:00:00
31,31,Mayflower Wind 1,17544,24293.832199459455,29053.32813245442,2025-05-01,2026-02-06 06:00:00,2026-08-23 14:00:00
32,32,Sunrise Wind 1,9528,14877.189124593144,24293.832199459455,2024-06-01,2025-01-09 22:00:00,2026-02-06 06:00:00
33,33,Revolution Wind,744,6899.468103047191,14877.189124593144,2023-06-01,2024-02-12 12:00:00,2025-01-09 22:00:00
34,34,South Fork,0,5403.9355900787505,6899.468103047191,2023-05-01,2023-12-12 04:00:00,2024-02-12 12:00:00
35,35,Vineyard Wind 1,0,0.0,5403.9355900787505,2023-05-01,2023-05-01 00:00:00,2023-12-12 04:00:00
