,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished
0,0,CIP Massachusetts,87672,87672.0,101564.38286482816,2033-05-01,2033-05-01 00:00:00,2034-11-30 21:00:00
1,1,Duke Energy Renewables Wind,61368,78308.57625557436,84017.66818769694,2030-05-01,2032-04-05 21:00:00,2032-11-29 18:00:00
2,2,Invenergy Wind Offshore,52608,74871.89580174733,82989.82227419107,2029-05-01,2031-11-14 16:00:00,2032-10-17 22:00:00
3,3,Atlantic Shores Offshore Wind residual,61368,67108.39015481809,79940.97636516306,2030-05-01,2030-12-26 05:00:00,2032-06-12 21:00:00
4,4,TotalEnergies Renewables USA,61368,72599.48432345178,78308.57625557436,2030-05-01,2031-08-12 00:00:00,2032-04-05 21:00:00
5,5,Community Wind,52608,62871.283253990274,74871.89580174733,2029-05-01,2030-07-02 16:00:00,2031-11-14 16:00:00
6,6,Attentive Energy,52632,65100.4706911322,73489.14766383491,2029-05-02,2030-10-03 13:00:00,2031-09-18 02:00:00
7,7,Kitty Hawk residual,52608,59766.8981131068,72599.48432345178,2029-05-01,2030-02-23 07:00:00,2031-08-12 00:00:00
8,8,Garden State Offshore Energy,52608,58511.04667960122,67108.39015481809,2029-05-01,2030-01-02 00:00:00,2030-12-26 05:00:00
9,9,OW Ocean Winds East,61368,61368.0,66465.22226578953,2030-05-01,2030-05-01 00:00:00,2030-11-29 10:00:00
10,10,Atlantic Shores Offshore Wind Bight,52608,57113.99089738938,65100.4706911322,2029-05-01,2029-11-04 18:00:00,2030-10-03 13:00:00
11,11,Beacon Wind residual,52608,52608.0,62871.283253990274,2029-05-01,2029-05-01 00:00:00,2030-07-02 16:00:00
12,12,Bay State Wind,43848,43848.0,61090.84408360955,2028-05-01,2028-05-01 00:00:00,2030-04-19 11:00:00
13,13,Beacon Wind 1,52608,52608.0,59766.8981131068,2029-05-01,2029-05-01 00:00:00,2030-02-23 07:00:00
14,14,Commonwealth Wind,43848,47865.403696443456,58511.04667960122,2028-05-01,2028-10-15 10:00:00,2030-01-02 00:00:00
15,15,Mid-Atlantic Offshore Wind,52608,52608.0,57113.99089738938,2029-05-01,2029-05-01 00:00:00,2029-11-04 18:00:00
16,16,Ocean Wind 2,35064,42637.19372124642,52390.72251661969,2027-05-01,2028-03-11 14:00:00,2029-04-21 23:00:00
17,17,Empire Wind 2,43848,44379.13840519336,51675.432779936324,2028-05-01,2028-05-23 04:00:00,2029-03-23 04:00:00
18,18,Mayflower Wind residual,43848,43981.32859429522,48740.824527290184,2028-05-01,2028-05-06 14:00:00,2028-11-20 21:00:00
19,19,Park City Wind,35808,40944.0,47865.403696443456,2027-06-01,2028-01-01 00:00:00,2028-10-15 10:00:00
20,20,Empire Wind 1,35064,39572.46707599962,44379.13840519336,2027-05-01,2027-11-04 21:00:00,2028-05-23 04:00:00
21,21,Skipjack 2,27768,35332.70484210146,43981.32859429522,2026-07-01,2027-05-12 05:00:00,2028-05-06 14:00:00
22,22,Sunrise Wind residual,35064,35064.0,42637.19372124642,2027-05-01,2027-05-01 00:00:00,2028-03-11 14:00:00
23,23,Atlantic Shores Offshore Wind 1,26304,29611.470063848265,42574.84285058241,2026-05-01,2026-09-15 20:00:00,2028-03-08 23:00:00
24,24,Kitty Hawk 1,17544,30975.123600782754,39572.46707599962,2025-05-01,2026-11-11 16:00:00,2027-11-04 21:00:00
25,25,Momentum Wind,26304,26304.0,35332.70484210146,2026-05-01,2026-05-01 00:00:00,2027-05-12 05:00:00
26,26,Coastal Virginia Offshore Wind,8784,8784.0,30975.123600782754,2024-05-01,2024-05-01 00:00:00,2026-11-11 16:00:00
27,27,Ocean Wind 1,18288,18944.64307486631,29611.470063848265,2025-06-01,2025-06-28 09:00:00,2026-09-15 20:00:00
28,28,Mayflower Wind 2,27048,27048.0,29466.71225221177,2026-06-01,2026-06-01 00:00:00,2026-09-09 19:00:00
29,29,Skipjack 1,19008,24973.706419491773,26245.762433469845,2025-07-01,2026-03-06 14:00:00,2026-04-28 14:00:00
30,30,MarWin,18288,22303.495932994963,24973.706419491773,2025-06-01,2025-11-15 08:00:00,2026-03-06 14:00:00
31,31,Mayflower Wind 1,17544,17544.0,22303.495932994963,2025-05-01,2025-05-01 00:00:00,2025-11-15 08:00:00
32,32,Sunrise Wind 1,9528,9528.0,18944.64307486631,2024-06-01,2024-06-01 00:00:00,2025-06-28 09:00:00
33,33,Revolution Wind,744,1495.532512968441,9473.253534514393,2023-06-01,2023-07-02 08:00:00,2024-05-29 18:00:00
34,34,Vineyard Wind 1,0,0.0,5403.9355900787505,2023-05-01,2023-05-01 00:00:00,2023-12-12 04:00:00
35,35,South Fork,0,0.0,1495.532512968441,2023-05-01,2023-05-01 00:00:00,2023-07-02 08:00:00
