,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished
0,0,CIP Massachusetts,87672,87672.0,103215.88286482816,2033-05-01,2033-05-01 00:00:00,2035-02-07 16:00:00
1,1,Invenergy Wind Offshore,52608,76875.14580174733,85968.32227419107,2029-05-01,2032-02-06 04:00:00,2033-02-19 01:00:00
2,2,Duke Energy Renewables Wind,61368,75755.37291775561,82226.96484987819,2030-05-01,2031-12-21 12:00:00,2032-09-16 03:00:00
3,3,Atlantic Shores Offshore Wind residual,61368,67084.08437260624,81697.67058295125,2030-05-01,2030-12-25 05:00:00,2032-08-25 02:00:00
4,4,Community Wind,52608,64203.28325399027,76875.14580174733,2029-05-01,2030-08-27 04:00:00,2032-02-06 04:00:00
5,5,TotalEnergies Renewables USA,61368,69353.03098563303,75755.37291775561,2030-05-01,2031-03-29 18:00:00,2031-12-21 12:00:00
6,6,Attentive Energy,52632,61592.479793742816,70988.90676644554,2029-05-02,2030-05-10 09:00:00,2031-06-05 21:00:00
7,7,Kitty Hawk residual,52608,55556.694775288044,69353.03098563303,2029-05-01,2029-08-31 21:00:00,2031-03-29 18:00:00
8,8,OW Ocean Winds East,61368,62038.93835635868,67629.5039675158,2030-05-01,2030-05-28 23:00:00,2031-01-16 22:00:00
9,9,Garden State Offshore Energy,52608,57616.49089738938,67084.08437260624,2029-05-01,2029-11-25 17:00:00,2030-12-25 05:00:00
10,10,Beacon Wind residual,52608,52608.0,64203.28325399027,2029-05-01,2029-05-01 00:00:00,2030-08-27 04:00:00
11,11,Bay State Wind,43848,43848.0,62866.59408360955,2028-05-01,2028-05-01 00:00:00,2030-07-02 11:00:00
12,12,Beacon Wind 1,52608,54076.27700019605,62038.93835635868,2029-05-01,2029-07-01 05:00:00,2030-05-28 23:00:00
13,13,Atlantic Shores Offshore Wind Bight,52608,52608.0,61592.479793742816,2029-05-01,2029-05-01 00:00:00,2030-05-10 09:00:00
14,14,Mid-Atlantic Offshore Wind,52608,52608.0,57616.49089738938,2029-05-01,2029-05-01 00:00:00,2029-11-25 17:00:00
15,15,Kitty Hawk 1,18288,46166.10130007119,55556.694775288044,2025-06-01,2028-08-05 15:00:00,2029-08-31 21:00:00
16,16,Empire Wind 2,43848,46026.77879537328,54076.27700019605,2028-05-01,2028-07-30 19:00:00,2029-07-01 05:00:00
17,17,Mayflower Wind residual,43848,43848.0,49107.49593299496,2028-05-01,2028-05-01 00:00:00,2028-12-06 04:00:00
18,18,Skipjack 2,27768,37848.72134257633,47100.845094770084,2026-07-01,2027-08-25 01:00:00,2028-09-13 13:00:00
19,19,Commonwealth Wind,35064,35064.0,47005.892983157755,2027-05-01,2027-05-01 00:00:00,2028-09-09 14:00:00
20,20,Coastal Virginia Offshore Wind,17544,21573.977699288393,46166.10130007119,2025-05-01,2025-10-15 22:00:00,2028-08-05 15:00:00
21,21,Ocean Wind 2,35064,35064.0,46026.77879537328,2027-05-01,2027-05-01 00:00:00,2028-07-30 19:00:00
22,22,Atlantic Shores Offshore Wind 1,26304,26304.0,40596.37278673415,2026-05-01,2026-05-01 00:00:00,2027-12-17 13:00:00
23,23,Empire Wind 1,35064,35064.0,40409.921329193734,2027-05-01,2027-05-01 00:00:00,2027-12-09 18:00:00
24,24,Momentum Wind,26304,27766.266500474878,37848.72134257633,2026-05-01,2026-06-30 23:00:00,2027-08-25 01:00:00
25,25,Park City Wind,27048,27048.0,34622.90369644345,2026-06-01,2026-06-01 00:00:00,2027-04-12 15:00:00
26,26,Mayflower Wind 2,27048,27048.0,29680.962252211775,2026-06-01,2026-06-01 00:00:00,2026-09-18 17:00:00
27,27,Skipjack 1,19008,26275.710486496806,27766.266500474878,2025-07-01,2026-04-29 20:00:00,2026-06-30 23:00:00
28,28,Mayflower Wind 1,17544,21435.326988981946,26537.87292197691,2025-05-01,2025-10-10 04:00:00,2026-05-10 18:00:00
29,29,MarWin,18288,23424.0,26275.710486496806,2025-06-01,2026-01-01 00:00:00,2026-04-29 20:00:00
30,30,Sunrise Wind 1,9528,10843.003534514397,21573.977699288393,2024-06-01,2024-07-25 20:00:00,2025-10-15 22:00:00
31,31,Ocean Wind 1,9528,9528.0,21435.326988981946,2024-06-01,2024-06-01 00:00:00,2025-10-10 04:00:00
32,32,Revolution Wind,744,1810.782512968441,10843.003534514397,2023-06-01,2023-07-15 11:00:00,2024-07-25 20:00:00
33,33,Vineyard Wind 1,0,0.0,6258.196017744902,2023-05-01,2023-05-01 00:00:00,2024-01-16 19:00:00
34,34,South Fork,0,0.0,1810.782512968441,2023-05-01,2023-05-01 00:00:00,2023-07-15 11:00:00
