,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished
0,0,CIP Massachusetts,87672,87672.0,98724.38206754817,2033-05-01,2033-05-01 00:00:00,2034-08-04 13:00:00
1,1,Duke Energy Renewables Wind,61368,76980.17164044685,81806.46212003965,2030-05-01,2032-02-10 13:00:00,2032-08-29 15:00:00
2,2,Atlantic Shores Offshore Wind residual,61368,69977.59509258198,80032.8088793029,2030-05-01,2031-04-24 18:00:00,2032-06-16 17:00:00
3,3,TotalEnergies Renewables USA,61368,72941.46449418737,76980.17164044685,2030-05-01,2031-08-26 06:00:00,2032-02-10 13:00:00
4,4,Invenergy Wind Offshore,52608,69674.66394088048,75917.52625480703,2029-05-01,2031-04-12 03:00:00,2031-12-28 06:00:00
5,5,Kitty Hawk residual,52608,63054.240707466444,72941.46449418737,2029-05-01,2030-07-10 07:00:00,2031-08-26 06:00:00
6,6,Attentive Energy,52632,64058.047287601956,70323.61626819517,2029-05-02,2030-08-21 03:00:00,2031-05-09 04:00:00
7,7,OW Ocean Winds East,61368,64378.622826792445,69977.59509258198,2030-05-01,2030-09-03 11:00:00,2031-04-24 18:00:00
8,8,Community Wind,52608,60426.551446440135,69674.66394088048,2029-05-01,2030-03-22 19:00:00,2031-04-12 03:00:00
9,9,Beacon Wind 1,52608,56380.22471368565,64378.622826792445,2029-05-01,2029-10-05 05:00:00,2030-09-03 11:00:00
10,10,Garden State Offshore Energy,52608,57327.1051189418,64058.047287601956,2029-05-01,2029-11-13 16:00:00,2030-08-21 03:00:00
11,11,Atlantic Shores Offshore Wind Bight,52608,56919.41841760841,63054.240707466444,2029-05-01,2029-10-27 16:00:00,2030-07-10 07:00:00
12,12,Beacon Wind residual,52608,52608.0,60426.551446440135,2029-05-01,2029-05-01 00:00:00,2030-03-22 19:00:00
13,13,Mid-Atlantic Offshore Wind,52608,53871.28631886238,57327.1051189418,2029-05-01,2029-06-22 16:00:00,2029-11-13 16:00:00
14,14,Bay State Wind,43848,43848.0,56919.41841760841,2028-05-01,2028-05-01 00:00:00,2029-10-27 16:00:00
15,15,Empire Wind 2,43848,48262.720338942694,56380.22471368565,2028-05-01,2028-10-31 23:00:00,2029-10-05 05:00:00
16,16,Commonwealth Wind,43848,45952.48496269975,53871.28631886238,2028-05-01,2028-07-27 17:00:00,2029-06-22 16:00:00
17,17,Mayflower Wind residual,43848,45406.88461550341,50372.77723998289,2028-05-01,2028-07-04 23:00:00,2029-01-27 21:00:00
18,18,Ocean Wind 2,35064,40794.725772826,48262.720338942694,2027-05-01,2027-12-25 19:00:00,2028-10-31 23:00:00
19,19,Park City Wind,35808,40572.67558570791,45952.48496269975,2027-06-01,2027-12-16 13:00:00,2028-07-27 17:00:00
20,20,Empire Wind 1,35064,40035.46328630968,45406.88461550341,2027-05-01,2027-11-24 04:00:00,2028-07-04 23:00:00
21,21,Kitty Hawk 1,18288,34461.16992572488,41011.885337440865,2025-06-01,2027-04-05 22:00:00,2028-01-03 20:00:00
22,22,Sunrise Wind residual,35064,35064.0,40794.725772826,2027-05-01,2027-05-01 00:00:00,2027-12-25 19:00:00
23,23,Atlantic Shores Offshore Wind 1,26304,31031.69170870949,40572.67558570791,2026-05-01,2026-11-14 00:00:00,2027-12-16 13:00:00
24,24,Skipjack 2,27768,33370.42496932192,40035.46328630968,2026-07-01,2027-02-19 11:00:00,2027-11-24 04:00:00
25,25,Coastal Virginia Offshore Wind,17544,17544.0,34461.16992572488,2025-05-01,2025-05-01 00:00:00,2027-04-05 22:00:00
26,26,Momentum Wind,26304,26611.17331900082,33370.42496932192,2026-05-01,2026-05-13 20:00:00,2027-02-19 11:00:00
27,27,Ocean Wind 1,18288,22983.789315963993,31031.69170870949,2025-06-01,2025-12-13 16:00:00,2026-11-14 00:00:00
28,28,Mayflower Wind 2,27048,27048.0,29680.962252211775,2026-06-01,2026-06-01 00:00:00,2026-09-18 17:00:00
29,29,Skipjack 1,19008,25447.1592344235,26611.17331900082,2025-07-01,2026-03-26 08:00:00,2026-05-13 20:00:00
30,30,MarWin,18288,23424.0,25447.1592344235,2025-06-01,2026-01-01 00:00:00,2026-03-26 08:00:00
31,31,Mayflower Wind 1,17544,17544.0,22983.789315963993,2025-05-01,2025-05-01 00:00:00,2025-12-13 16:00:00
32,32,Sunrise Wind 1,9528,9528.0,16595.4927402288,2024-06-01,2024-06-01 00:00:00,2025-03-22 12:00:00
33,33,Revolution Wind,744,1366.397537326829,7592.860938246669,2023-06-01,2023-06-26 23:00:00,2024-03-12 09:00:00
34,34,Vineyard Wind 1,0,0.0,6258.196017744902,2023-05-01,2023-05-01 00:00:00,2024-01-16 19:00:00
35,35,South Fork,0,0.0,1366.397537326829,2023-05-01,2023-05-01 00:00:00,2023-06-26 23:00:00
