,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished
0,0,CIP Massachusetts,87672,87672.0,103215.88286482816,2033-05-01,2033-05-01 00:00:00,2035-02-07 16:00:00
1,1,Duke Energy Renewables Wind,61368,85491.69355527086,91974.53548739344,2030-05-01,2033-01-30 04:00:00,2033-10-27 07:00:00
2,2,Invenergy Wind Offshore,52608,80503.74089651741,89465.41736896115,2029-05-01,2032-07-06 08:00:00,2033-07-14 18:00:00
3,3,Atlantic Shores Offshore Wind residual,61368,72269.92262369294,85910.25883403792,2030-05-01,2031-07-29 06:00:00,2033-02-16 15:00:00
4,4,TotalEnergies Renewables USA,61368,79139.60162314828,85491.69355527086,2030-05-01,2032-05-10 12:00:00,2033-01-30 04:00:00
5,5,Community Wind,52608,67004.62834876035,80503.74089651741,2029-05-01,2030-12-21 21:00:00,2032-07-06 08:00:00
6,6,Attentive Energy,52632,71008.49354934368,80419.92052204639,2029-05-02,2031-06-06 17:00:00,2032-07-02 20:00:00
7,7,Kitty Hawk residual,52608,65179.5154128033,79139.60162314828,2029-05-01,2030-10-06 20:00:00,2032-05-10 12:00:00
8,8,OW Ocean Winds East,61368,70714.62482391445,76333.03378043916,2030-05-01,2031-05-25 11:00:00,2032-01-14 14:00:00
9,9,Garden State Offshore Energy,52608,62623.829148476085,72269.92262369294,2029-05-01,2030-06-22 08:00:00,2031-07-29 06:00:00
10,10,Atlantic Shores Offshore Wind Bight,52608,62103.26375560086,71008.49354934368,2029-05-01,2030-05-31 16:00:00,2031-06-06 17:00:00
11,11,Beacon Wind 1,52608,62726.45022469598,70714.62482391445,2029-05-01,2030-06-26 15:00:00,2031-05-25 11:00:00
12,12,Beacon Wind residual,52608,56093.84509477008,67004.62834876035,2029-05-01,2029-09-23 06:00:00,2030-12-21 21:00:00
13,13,Bay State Wind,43848,46360.921329193734,65179.5154128033,2028-05-01,2028-08-13 17:00:00,2030-10-06 20:00:00
14,14,Empire Wind 2,43848,54560.22251661969,62726.45022469598,2028-05-01,2029-07-21 09:00:00,2030-06-26 15:00:00
15,15,Mid-Atlantic Offshore Wind,52608,57552.33825108671,62623.829148476085,2029-05-01,2029-11-23 01:00:00,2030-06-22 08:00:00
16,16,Commonwealth Wind,43848,50010.12077244309,62103.26375560086,2028-05-01,2029-01-12 19:00:00,2030-05-31 16:00:00
17,17,Mayflower Wind residual,43848,52144.592318091745,57552.33825108671,2028-05-01,2029-04-11 17:00:00,2029-11-23 01:00:00
18,18,Skipjack 2,27768,46565.22134257633,56093.84509477008,2026-07-01,2028-08-22 06:00:00,2029-09-23 06:00:00
19,19,Ocean Wind 2,35064,43523.94372124641,54560.22251661969,2027-05-01,2028-04-17 12:00:00,2029-07-21 09:00:00
20,20,Atlantic Shores Offshore Wind 1,26304,38308.4695313576,52144.592318091745,2026-05-01,2027-09-13 05:00:00,2029-04-11 17:00:00
21,21,Park City Wind,35808,42223.967075999644,50010.12077244309,2027-06-01,2028-02-23 08:00:00,2029-01-12 19:00:00
22,22,Momentum Wind,26304,36747.26650047488,46565.22134257633,2026-05-01,2027-07-10 04:00:00,2028-08-22 06:00:00
23,23,Empire Wind 1,35064,40944.0,46360.921329193734,2027-05-01,2028-01-01 00:00:00,2028-08-13 17:00:00
24,24,Sunrise Wind residual,35064,35064.0,43523.94372124641,2027-05-01,2027-05-01 00:00:00,2028-04-17 12:00:00
25,25,Kitty Hawk 1,17544,32765.873600782783,42223.967075999644,2025-05-01,2027-01-25 06:00:00,2028-02-23 08:00:00
26,26,Ocean Wind 1,18288,26176.642542375655,38308.4695313576,2025-06-01,2026-04-25 17:00:00,2027-09-13 05:00:00
27,27,Skipjack 1,19008,35212.460486496806,36747.26650047488,2025-07-01,2027-05-07 05:00:00,2027-07-10 04:00:00
28,28,MarWin,18288,32184.0,35212.460486496806,2025-06-01,2027-01-01 00:00:00,2027-05-07 05:00:00
29,29,Mayflower Wind 2,27048,32184.0,34933.012252211774,2026-06-01,2027-01-01 00:00:00,2027-04-25 14:00:00
30,30,Coastal Virginia Offshore Wind,8784,8784.0,32765.873600782783,2024-05-01,2024-05-01 00:00:00,2027-01-25 06:00:00
31,31,Mayflower Wind 1,17544,21198.896609380692,26176.642542375655,2025-05-01,2025-09-30 07:00:00,2026-04-25 17:00:00
32,32,Sunrise Wind 1,9528,10843.003534514397,21198.896609380692,2024-06-01,2024-07-25 20:00:00,2025-09-30 07:00:00
33,33,Revolution Wind,744,1810.782512968441,10843.003534514397,2023-06-01,2023-07-15 11:00:00,2024-07-25 20:00:00
34,34,Vineyard Wind 1,0,0.0,6258.196017744902,2023-05-01,2023-05-01 00:00:00,2024-01-16 19:00:00
35,35,South Fork,0,0.0,1810.782512968441,2023-05-01,2023-05-01 00:00:00,2023-07-15 11:00:00
