,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished
0,0,CIP Massachusetts,87672,154100.58842155288,169195.47128638104,2033-05-01,2040-11-27 21:00:00,2042-08-18 20:00:00
1,1,Duke Energy Renewables Wind,61368,148136.95324869905,154778.04518082165,2030-05-01,2040-03-24 09:00:00,2040-12-26 03:00:00
2,2,Atlantic Shores Offshore Wind residual,61368,139490.75221120787,154100.58842155288,2030-05-01,2039-03-30 03:00:00,2040-11-27 21:00:00
3,3,TotalEnergies Renewables USA,61368,142090.11131657648,148136.95324869905,2030-05-01,2039-07-16 11:00:00,2040-03-24 09:00:00
4,4,OW Ocean Winds East,61368,136332.99905078695,142090.11131657648,2030-05-01,2038-11-18 13:00:00,2039-07-16 11:00:00
5,5,Kitty Hawk residual,52608,125572.6660008629,139490.75221120787,2029-05-01,2037-08-27 05:00:00,2039-03-30 03:00:00
6,6,Attentive Energy,52632,127024.82207808424,136332.99905078695,2029-05-02,2037-10-26 17:00:00,2038-11-18 13:00:00
7,7,Invenergy Wind Offshore,52608,118026.89560564051,127024.82207808424,2029-05-01,2036-10-16 19:00:00,2037-10-26 17:00:00
8,8,Garden State Offshore Energy,52608,115754.57252564604,125572.6660008629,2029-05-01,2036-07-14 03:00:00,2037-08-27 05:00:00
9,9,Community Wind,52608,104041.03305788344,118026.89560564051,2029-05-01,2035-03-14 02:00:00,2036-10-16 19:00:00
10,10,Atlantic Shores Offshore Wind Bight,52608,106959.59273190323,115754.57252564604,2029-05-01,2035-07-13 16:00:00,2036-07-14 03:00:00
11,11,Mid-Atlantic Offshore Wind,52608,101881.35183451386,106959.59273190323,2029-05-01,2034-12-14 02:00:00,2035-07-13 16:00:00
12,12,Beacon Wind 1,52608,95491.35845866498,104041.03305788344,2029-05-01,2034-03-22 20:00:00,2035-03-14 02:00:00
13,13,Beacon Wind residual,52608,93850.75363112956,101881.35183451386,2029-05-01,2034-01-13 11:00:00,2034-12-14 02:00:00
14,14,Empire Wind 2,43848,87130.31692050886,95491.35845866498,2028-05-01,2033-04-08 11:00:00,2034-03-22 20:00:00
15,15,Bay State Wind,43848,74711.65954752,93850.75363112956,2028-05-01,2031-11-08 00:00:00,2034-01-13 11:00:00
16,16,Mayflower Wind residual,43848,82174.3209875139,87130.31692050886,2028-05-01,2032-09-13 23:00:00,2033-04-08 11:00:00
17,17,Ocean Wind 2,35064,71323.79219214062,82174.3209875139,2027-05-01,2031-06-19 20:00:00,2032-09-13 23:00:00
18,18,Empire Wind 1,35064,69070.28438824645,74711.65954752,2027-05-01,2031-03-17 23:00:00,2031-11-08 00:00:00
19,19,Skipjack 2,27768,61670.66843994687,71323.79219214062,2026-07-01,2030-05-13 15:00:00,2031-06-19 20:00:00
20,20,Sunrise Wind residual,35064,63490.818615420445,69070.28438824645,2027-05-01,2030-07-28 11:00:00,2031-03-17 23:00:00
21,21,Mayflower Wind 2,27048,60476.85636320867,63490.818615420445,2026-06-01,2030-03-24 21:00:00,2030-07-28 11:00:00
22,22,Momentum Wind,26304,51414.96359784541,61670.66843994687,2026-05-01,2029-03-12 07:00:00,2030-05-13 15:00:00
23,23,Atlantic Shores Offshore Wind 1,26304,46639.23357647452,60476.85636320867,2026-05-01,2028-08-25 08:00:00,2030-03-24 21:00:00
24,24,Commonwealth Wind,26304,43282.52890834945,51414.96359784541,2026-05-01,2028-04-07 11:00:00,2029-03-12 07:00:00
25,25,Skipjack 1,19008,45323.42756249645,46639.23357647452,2025-07-01,2028-07-01 12:00:00,2028-08-25 08:00:00
26,26,MarWin,18288,42223.967075999644,45323.42756249645,2025-06-01,2028-02-23 08:00:00,2028-07-01 12:00:00
27,27,Ocean Wind 1,18288,31543.4519193675,43282.52890834945,2025-06-01,2026-12-05 08:00:00,2028-04-07 11:00:00
28,28,Kitty Hawk 1,17544,32765.873600782783,42223.967075999644,2025-05-01,2027-01-25 06:00:00,2028-02-23 08:00:00
29,29,Coastal Virginia Offshore Wind,8784,8784.0,32765.873600782783,2024-05-01,2024-05-01 00:00:00,2027-01-25 06:00:00
30,30,Park City Wind,18288,26176.642542375655,31543.4519193675,2025-06-01,2026-04-25 17:00:00,2026-12-05 08:00:00
31,31,Mayflower Wind 1,17544,21198.896609380692,26176.642542375655,2025-05-01,2025-09-30 07:00:00,2026-04-25 17:00:00
32,32,Sunrise Wind 1,9528,10843.003534514397,21198.896609380692,2024-06-01,2024-07-25 20:00:00,2025-09-30 07:00:00
33,33,Revolution Wind,744,1810.782512968441,10843.003534514397,2023-06-01,2023-07-15 11:00:00,2024-07-25 20:00:00
34,34,Vineyard Wind 1,0,0.0,6258.196017744902,2023-05-01,2023-05-01 00:00:00,2024-01-16 19:00:00
35,35,South Fork,0,0.0,1810.782512968441,2023-05-01,2023-05-01 00:00:00,2023-07-15 11:00:00
