,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished
0,0,CIP Massachusetts,87672,87672.0,96743.8399999999,2033-05-01,2033-05-01 00:00:00,2034-05-14 00:00:00
1,1,Atlantic Shores Offshore Wind residual,61368,75917.11333333317,84109.77999999977,2030-05-01,2031-12-28 06:00:00,2032-12-03 14:00:00
2,2,Duke Energy Renewables Wind,61368,73979.46333333322,77489.0133333332,2030-05-01,2031-10-08 12:00:00,2032-03-02 18:00:00
3,3,Attentive Energy,52632,70670.22999999986,75917.11333333317,2029-05-02,2031-05-23 15:00:00,2031-12-28 06:00:00
4,4,TotalEnergies Renewables USA,61368,70229.91333333323,73979.46333333322,2030-05-01,2031-05-05 06:00:00,2031-10-08 12:00:00
5,5,OW Ocean Winds East,61368,69718.36333333328,73396.82999999994,2030-05-01,2031-04-13 23:00:00,2031-09-14 05:00:00
6,6,Garden State Offshore Energy,52608,65179.83333333323,70670.22999999986,2029-05-01,2030-10-06 20:00:00,2031-05-23 15:00:00
7,7,Invenergy Wind Offshore,52608,65104.90333333325,70229.91333333323,2029-05-01,2030-10-03 17:00:00,2031-05-05 06:00:00
8,8,Kitty Hawk residual,52608,61500.69666666668,69718.36333333328,2029-05-01,2030-05-06 13:00:00,2031-04-13 23:00:00
9,9,Atlantic Shores Offshore Wind Bight,52608,59775.75999999992,65179.83333333323,2029-05-01,2030-02-23 16:00:00,2030-10-06 20:00:00
10,10,Community Wind,52608,57359.793333333306,65104.90333333325,2029-05-01,2029-11-15 00:00:00,2030-10-03 17:00:00
11,11,Beacon Wind 1,52608,56640.95000000003,61500.69666666668,2029-05-01,2029-10-16 01:00:00,2030-05-06 13:00:00
12,12,Mid-Atlantic Offshore Wind,52608,57055.97666666659,59775.75999999992,2029-05-01,2029-11-02 08:00:00,2030-02-23 16:00:00
13,13,Beacon Wind residual,52608,52608.0,57359.793333333306,2029-05-01,2029-05-01 00:00:00,2029-11-15 00:00:00
14,14,Bay State Wind,43848,46262.823333333334,57055.97666666659,2028-05-01,2028-08-09 15:00:00,2029-11-02 08:00:00
15,15,Empire Wind 2,43848,51460.73000000006,56640.95000000003,2028-05-01,2029-03-14 05:00:00,2029-10-16 01:00:00
16,16,Ocean Wind 2,35064,45460.56666666655,51589.20999999985,2027-05-01,2028-07-07 05:00:00,2029-03-19 14:00:00
17,17,Mayflower Wind residual,43848,48313.22000000007,51460.73000000006,2028-05-01,2028-11-03 02:00:00,2029-03-14 05:00:00
18,18,Skipjack 2,27768,42827.60666666674,48313.22000000007,2026-07-01,2028-03-19 12:00:00,2028-11-03 02:00:00
19,19,Sunrise Wind residual,35064,42531.280000000006,46262.823333333334,2027-05-01,2028-03-07 04:00:00,2028-08-09 15:00:00
20,20,Empire Wind 1,35064,42000.783333333224,45460.56666666655,2027-05-01,2028-02-14 01:00:00,2028-07-07 05:00:00
21,21,Momentum Wind,26304,37265.613333333415,42827.60666666674,2026-05-01,2027-07-31 18:00:00,2028-03-19 12:00:00
22,22,Mayflower Wind 2,27048,40944.0,42531.280000000006,2026-06-01,2028-01-01 00:00:00,2028-03-07 04:00:00
23,23,Atlantic Shores Offshore Wind 1,26304,33798.25999999995,42000.783333333224,2026-05-01,2027-03-09 07:00:00,2028-02-14 01:00:00
24,24,Commonwealth Wind,26304,32121.51000000011,37265.613333333415,2026-05-01,2026-12-29 10:00:00,2027-07-31 18:00:00
25,25,Ocean Wind 1,18288,27136.09333333331,33798.25999999995,2025-06-01,2026-06-04 17:00:00,2027-03-09 07:00:00
26,26,Skipjack 1,19008,31353.243333333445,32121.51000000011,2025-07-01,2026-11-27 10:00:00,2026-12-29 10:00:00
27,27,MarWin,18288,29744.583333333445,31353.243333333445,2025-06-01,2026-09-21 09:00:00,2026-11-27 10:00:00
28,28,Kitty Hawk 1,17544,24154.186666666803,29744.583333333445,2025-05-01,2026-01-31 11:00:00,2026-09-21 09:00:00
29,29,Park City Wind,18288,23806.33333333331,27136.09333333331,2025-06-01,2026-01-16 23:00:00,2026-06-04 17:00:00
30,30,Coastal Virginia Offshore Wind,8784,9830.61333333335,24154.186666666803,2024-05-01,2024-06-13 15:00:00,2026-01-31 11:00:00
31,31,Mayflower Wind 1,17544,20786.373333333315,23806.33333333331,2025-05-01,2025-09-13 03:00:00,2026-01-16 23:00:00
32,32,Sunrise Wind 1,9528,14664.0,20786.373333333315,2024-06-01,2025-01-01 00:00:00,2025-09-13 03:00:00
33,33,Revolution Wind,744,4803.786666666692,9830.61333333335,2023-06-01,2023-11-17 04:00:00,2024-06-13 15:00:00
34,34,South Fork,0,3945.5066666666917,4803.786666666692,2023-05-01,2023-10-12 10:00:00,2023-11-17 04:00:00
35,35,Vineyard Wind 1,0,0.0,3945.5066666666917,2023-05-01,2023-05-01 00:00:00,2023-10-12 10:00:00
