,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished
0,0,CIP Massachusetts,87672,87672.0,96743.8399999999,2033-05-01,2033-05-01 00:00:00,2034-05-14 00:00:00
1,1,Atlantic Shores Offshore Wind residual,61368,74321.2033333332,82602.8699999998,2030-05-01,2031-10-22 18:00:00,2032-10-01 19:00:00
2,2,Duke Energy Renewables Wind,61368,78530.99333333301,82323.543333333,2030-05-01,2032-04-15 03:00:00,2032-09-20 04:00:00
3,3,TotalEnergies Renewables USA,61368,74851.44333333302,78530.99333333301,2030-05-01,2031-11-13 20:00:00,2032-04-15 03:00:00
4,4,OW Ocean Winds East,61368,72224.53333333327,75526.35999999993,2030-05-01,2031-07-27 09:00:00,2031-12-11 23:00:00
5,5,Invenergy Wind Offshore,52608,69648.43333333304,74851.44333333302,2029-05-01,2031-04-11 01:00:00,2031-11-13 20:00:00
6,6,Attentive Energy,52632,68816.31999999989,74321.2033333332,2029-05-02,2031-03-07 09:00:00,2031-10-22 18:00:00
7,7,Kitty Hawk residual,52608,63971.866666666654,72224.53333333327,2029-05-01,2030-08-17 12:00:00,2031-07-27 09:00:00
8,8,Community Wind,52608,61923.3233333331,69648.43333333304,2029-05-01,2030-05-24 04:00:00,2031-04-11 01:00:00
9,9,Garden State Offshore Energy,52608,63562.923333333245,68816.31999999989,2029-05-01,2030-07-31 11:00:00,2031-03-07 09:00:00
10,10,Beacon Wind 1,52608,58703.60000000001,63971.866666666654,2029-05-01,2030-01-10 00:00:00,2030-08-17 12:00:00
11,11,Atlantic Shores Offshore Wind Bight,52608,58227.84999999993,63562.923333333245,2029-05-01,2029-12-21 04:00:00,2030-07-31 11:00:00
12,12,Beacon Wind residual,52608,55464.789999999804,61923.3233333331,2029-05-01,2029-08-28 01:00:00,2030-05-24 04:00:00
13,13,Empire Wind 2,43848,53888.38000000004,58703.60000000001,2028-05-01,2029-06-23 09:00:00,2030-01-10 00:00:00
14,14,Mid-Atlantic Offshore Wind,52608,55559.0666666666,58227.84999999993,2029-05-01,2029-09-01 00:00:00,2029-12-21 04:00:00
15,15,Commonwealth Wind,43848,48622.96333333331,55559.0666666666,2028-05-01,2028-11-15 23:00:00,2029-09-01 00:00:00
16,16,Bay State Wind,43848,44421.636666666556,55464.789999999804,2028-05-01,2028-05-24 22:00:00,2029-08-28 01:00:00
17,17,Mayflower Wind residual,43848,50393.42000000005,53888.38000000004,2028-05-01,2029-01-28 18:00:00,2029-06-23 09:00:00
18,18,Ocean Wind 2,35064,44346.776666666745,50393.42000000005,2027-05-01,2028-05-21 19:00:00,2029-01-28 18:00:00
19,19,Park City Wind,35808,44292.703333333324,48622.96333333331,2027-06-01,2028-05-19 13:00:00,2028-11-15 23:00:00
20,20,Skipjack 2,27768,39057.02333333323,44421.636666666556,2026-07-01,2027-10-14 10:00:00,2028-05-24 22:00:00
21,21,Sunrise Wind residual,35064,39581.23333333343,44346.776666666745,2027-05-01,2027-11-05 06:00:00,2028-05-21 19:00:00
22,22,Empire Wind 1,35064,40944.0,44292.703333333324,2027-05-01,2028-01-01 00:00:00,2028-05-19 13:00:00
23,23,Mayflower Wind 2,27048,38069.50333333343,39581.23333333343,2026-06-01,2027-09-03 06:00:00,2027-11-05 06:00:00
24,24,Atlantic Shores Offshore Wind 1,26304,30737.49999999995,39057.02333333323,2026-05-01,2026-11-01 18:00:00,2027-10-14 10:00:00
25,25,Momentum Wind,26304,32121.51000000011,38069.50333333343,2026-05-01,2026-12-29 10:00:00,2027-09-03 06:00:00
26,26,Skipjack 1,19008,31353.243333333445,32121.51000000011,2025-07-01,2026-11-27 10:00:00,2026-12-29 10:00:00
27,27,MarWin,18288,29744.583333333445,31353.243333333445,2025-06-01,2026-09-21 09:00:00,2026-11-27 10:00:00
28,28,Ocean Wind 1,18288,23806.33333333331,30737.49999999995,2025-06-01,2026-01-16 23:00:00,2026-11-01 18:00:00
29,29,Kitty Hawk 1,17544,24154.186666666803,29744.583333333445,2025-05-01,2026-01-31 11:00:00,2026-09-21 09:00:00
30,30,Coastal Virginia Offshore Wind,8784,9830.61333333335,24154.186666666803,2024-05-01,2024-06-13 15:00:00,2026-01-31 11:00:00
31,31,Mayflower Wind 1,17544,20786.373333333315,23806.33333333331,2025-05-01,2025-09-13 03:00:00,2026-01-16 23:00:00
32,32,Sunrise Wind 1,9528,14664.0,20786.373333333315,2024-06-01,2025-01-01 00:00:00,2025-09-13 03:00:00
33,33,Revolution Wind,744,4803.786666666692,9830.61333333335,2023-06-01,2023-11-17 04:00:00,2024-06-13 15:00:00
34,34,South Fork,0,3945.5066666666917,4803.786666666692,2023-05-01,2023-10-12 10:00:00,2023-11-17 04:00:00
35,35,Vineyard Wind 1,0,0.0,3945.5066666666917,2023-05-01,2023-05-01 00:00:00,2023-10-12 10:00:00
