,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished
0,0,CIP Massachusetts,87672,87672.0,96743.8399999999,2033-05-01,2033-05-01 00:00:00,2034-05-14 00:00:00
1,1,Atlantic Shores Offshore Wind residual,61368,71410.13666666659,79691.8033333332,2030-05-01,2031-06-23 11:00:00,2032-06-02 12:00:00
2,2,Attentive Energy,52632,66025.25333333328,71410.13666666659,2029-05-02,2030-11-11 02:00:00,2031-06-23 11:00:00
3,3,Duke Energy Renewables Wind,61368,65184.54999999999,68674.09999999998,2030-05-01,2030-10-07 01:00:00,2031-03-01 11:00:00
4,4,Garden State Offshore Energy,52608,60456.856666666645,66025.25333333328,2029-05-01,2030-03-24 01:00:00,2030-11-11 02:00:00
5,5,Invenergy Wind Offshore,52608,60069.10999999994,65489.119999999915,2029-05-01,2030-03-07 22:00:00,2030-10-19 18:00:00
6,6,TotalEnergies Renewables USA,61368,61368.0,65184.54999999999,2030-05-01,2030-05-01 00:00:00,2030-10-07 01:00:00
7,7,OW Ocean Winds East,61368,61368.0,65008.82666666665,2030-05-01,2030-05-01 00:00:00,2030-09-29 17:00:00
8,8,Kitty Hawk residual,52608,52608.0,60743.666666666606,2029-05-01,2029-05-01 00:00:00,2030-04-05 00:00:00
9,9,Atlantic Shores Offshore Wind Bight,52608,55558.78333333333,60456.856666666645,2029-05-01,2029-08-31 23:00:00,2030-03-24 01:00:00
10,10,Community Wind,52608,52608.0,60069.10999999994,2029-05-01,2029-05-01 00:00:00,2030-03-07 22:00:00
11,11,Beacon Wind 1,52608,52608.0,57466.50666666664,2029-05-01,2029-05-01 00:00:00,2029-11-19 11:00:00
12,12,Beacon Wind residual,52608,52608.0,57359.793333333306,2029-05-01,2029-05-01 00:00:00,2029-11-15 00:00:00
13,13,Mid-Atlantic Offshore Wind,52608,52608.0,55558.78333333333,2029-05-01,2029-05-01 00:00:00,2029-08-31 23:00:00
14,14,Bay State Wind,43848,43848.0,54993.153333333255,2028-05-01,2028-05-01 00:00:00,2029-08-08 10:00:00
15,15,Empire Wind 2,43848,43848.0,48798.25999999997,2028-05-01,2028-05-01 00:00:00,2028-11-23 07:00:00
16,16,Mayflower Wind residual,43848,43848.0,47166.95999999999,2028-05-01,2028-05-01 00:00:00,2028-09-16 07:00:00
17,17,Ocean Wind 2,35064,39719.15666666661,45988.799999999916,2027-05-01,2027-11-11 00:00:00,2028-07-29 05:00:00
18,18,Empire Wind 1,35064,38666.689999999915,41730.47333333324,2027-05-01,2027-09-28 03:00:00,2028-02-02 19:00:00
19,19,Skipjack 2,27768,35527.57666666677,40930.1900000001,2026-07-01,2027-05-20 08:00:00,2027-12-31 11:00:00
20,20,Sunrise Wind residual,35064,36245.85333333329,39719.15666666661,2027-05-01,2027-06-19 06:00:00,2027-11-11 00:00:00
21,21,Atlantic Shores Offshore Wind 1,26304,30356.16666666664,38666.689999999915,2026-05-01,2026-10-16 21:00:00,2027-09-28 03:00:00
22,22,Mayflower Wind 2,27048,34461.123333333286,36245.85333333329,2026-06-01,2027-04-05 22:00:00,2027-06-19 06:00:00
23,23,Momentum Wind,26304,29744.583333333445,35527.57666666677,2026-05-01,2026-09-21 09:00:00,2027-05-20 08:00:00
24,24,Commonwealth Wind,26304,29663.019999999975,34461.123333333286,2026-05-01,2026-09-18 00:00:00,2027-04-05 22:00:00
25,25,Ocean Wind 1,18288,23424.0,30356.16666666664,2025-06-01,2026-01-01 00:00:00,2026-10-16 21:00:00
26,26,Kitty Hawk 1,17544,24154.186666666803,29744.583333333445,2025-05-01,2026-01-31 11:00:00,2026-09-21 09:00:00
27,27,Skipjack 1,19008,28821.75333333331,29663.019999999975,2025-07-01,2026-08-13 22:00:00,2026-09-18 00:00:00
28,28,MarWin,18288,27136.09333333331,28821.75333333331,2025-06-01,2026-06-04 17:00:00,2026-08-13 22:00:00
29,29,Park City Wind,18288,23806.33333333331,27136.09333333331,2025-06-01,2026-01-16 23:00:00,2026-06-04 17:00:00
30,30,Coastal Virginia Offshore Wind,8784,9830.61333333335,24154.186666666803,2024-05-01,2024-06-13 15:00:00,2026-01-31 11:00:00
31,31,Mayflower Wind 1,17544,20786.373333333315,23806.33333333331,2025-05-01,2025-09-13 03:00:00,2026-01-16 23:00:00
32,32,Sunrise Wind 1,9528,14664.0,20786.373333333315,2024-06-01,2025-01-01 00:00:00,2025-09-13 03:00:00
33,33,Revolution Wind,744,4803.786666666692,9830.61333333335,2023-06-01,2023-11-17 04:00:00,2024-06-13 15:00:00
34,34,South Fork,0,3945.5066666666917,4803.786666666692,2023-05-01,2023-10-12 10:00:00,2023-11-17 04:00:00
35,35,Vineyard Wind 1,0,0.0,3945.5066666666917,2023-05-01,2023-05-01 00:00:00,2023-10-12 10:00:00
