, ,Already invest,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,Notes,Sources
Ports,NB,150,,,,,,,,,,,,,,,,
,NL,157,,,,,,,,,,,,,,,,
,PMT,250,,,,,,,,,,,,,,,Upgrade existing port,
,NJWP 1,200,,,,,,200,,,,,,,,,Build new port,
,TPA,13,,,,,,187,,,,,,,,,Upgrade existing port,
,SBMT,,,,,,,,,260,,,,,,,Upgrade existing port,
,Salem,,,,,,,,,200,,,,,,,,
,AKT,,,,,,,,,400,,,,,,,,
,NJWP 2,,,,,,,,,,200,,,,,,Expand existing,
WTIV,Chary,500,,,,,,,,,,,,,,,,
,Maersk,,,,,,,500,,,,,,,,,,
,New WTIV,,,,,,,,500,,,,,,,,,
,New WTIV,,,,,,,,,,500,,,,,,,
,New WTIV,,,,,,,,,,500,,,,,,,
HLV,New HLV,,,,,,,,,350,,,,,,,,
,New HLV,,,,,,,,,350,,,,,,,,
,New HLV,,,,,,,,,350,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Totals,
Baseline annual ports,,770,0,0,0,0,0,387,0,260,0,0,0,0,0,0,1417,
Baseline annual vessels,,500,0,0,0,0,0,500,0,0,0,0,0,0,0,0,1000,
Expanded annual ports,,770,0,0,0,0,0,387,0,860,200,0,0,0,0,0,2217,
Expanded annual vessels,,500,0,0,0,0,0,500,500,1050,1000,0,0,0,0,0,3550,
,,,,,,,,,,,,,,,,,,
CORAL format,,,,,,,,,,,,,,,,,,
Baseline annual ports,,,770,0,0,0,0,387,0,260,0,0,0,0,0,0,1417,
Baseline annual vessels,,,,500,0,0,0,500,0,0,0,0,0,0,0,0,1000,
Baseline ports + vessels,,,770,500,0,0,0,887,0,260,0,0,0,0,0,0,2417,
Expanded annual ports,,,770,0,0,0,0,387,0,860,200,0,0,0,0,0,2217,https://www.usa.skanska.com/who-we-are/media/press-releases/266239/Skanska-Selected-to-Rebuild-Offshore-Wind-Staging-Port-at-Portsmouth-Marine-Terminal-/
Expanded annual vessels,,,0,500,0,0,0,500,500,1050,1000,0,0,0,0,0,3550,
Expanded ports + vesels,,,770,500,0,0,0,887,500,1910,1200,0,0,0,0,0,5767,
,,,,,,,,,,,,,,,,,,
Add floating ports,,,,,,,,,,,,,,,,,,
Ports,Humboldt,,,,,,,,,,,,400,,,,New port,
,Central Coast,,,,,,,,,,,,400,,,,New port,
,Coos Bay,,,,,,,,,,,,400,,,,New port,
,New Orleans,,,,,,,,,,,,,,200,,Upgrade,
,Portsmouth,,,,,,,,,,,,,200,,,Upgrade,
,Searsport,,,,,,,,,,,,200,,,,Upgrade,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Expanded annual fix float ports,,,770,0,0,0,0,387,0,860,200,0,1400,200,200,0,4017,
Expanded fix float ports + vessels,,,770,500,0,0,0,887,500,1910,1200,0,1400,200,200,0,7567,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Assumptions,,,,,,,,,,,,,,,,,,
Cumulative investmetn complete by operation date operation,,,,,,,,,,,,,,,,,,
Opeation date,,,,,,,,,,,,,,,,,,
